Malawi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
180,1980,0.8753333333333333,0.81,,,,
181,1981,0.6253333333333333,0.83,,,,
182,1982,0.8353333333333333,0.87,,,,
183,1983,1.6553333333333333,0.9,,,,
184,1984,0.9153333333333333,0.93,,,,
185,1985,0.6053333333333333,0.97,,,,
186,1986,0.7453333333333333,1.0,,,,
187,1987,1.5153333333333334,1.05,,,,
188,1988,1.2753333333333332,1.09,,,,
189,1989,0.8753333333333333,1.13,,,,
190,1990,1.4253333333333333,1.17,,,,
191,1991,1.0853333333333333,1.21,,,,
192,1992,1.6653333333333333,1.24,,,,
193,1993,1.1453333333333333,1.27,,,,
194,1994,1.2053333333333334,1.28,,,,
195,1995,1.5253333333333332,1.28,,,,
196,1996,1.1953333333333334,1.29,,,,
197,1997,1.2753333333333332,1.31,,,,
198,1998,1.6553333333333333,1.32,,,,
199,1999,0.9253333333333333,1.33,,,,
200,2000,1.1353333333333333,1.34,,,,
201,2001,1.3753333333333333,1.35,,,,
202,2002,1.4953333333333334,1.36,,,,
203,2003,1.4753333333333334,1.37,,,,
204,2004,1.2153333333333332,1.38,,,,
205,2005,1.9653333333333334,1.39,1.3,1.29,1.33,1.29
206,2006,1.3753333333333333,1.41,1.33,1.32,1.36,1.32
207,2007,1.4753333333333334,1.42,1.37,1.36,1.4,1.36
208,2008,1.1853333333333333,1.43,1.4,1.4,1.43,1.4
209,2009,1.2553333333333332,1.45,1.44,1.44,1.46,1.44
210,2010,1.5853333333333333,1.47,1.48,1.48,1.5,1.48
211,2011,1.6053333333333333,1.5,1.51,1.52,1.53,1.52
212,2012,1.4253333333333333,1.53,1.55,1.56,1.56,1.55
213,2013,1.3153333333333332,1.56,1.59,1.6,1.59,1.59
214,2014,1.5753333333333333,1.59,1.63,1.64,1.62,1.63
215,2015,1.8153333333333332,1.63,1.66,1.67,1.65,1.67
216,2016,1.9553333333333334,1.67,1.7,1.7,1.68,1.7
