Guinea Bissau,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.12500000000000006,-0.12,,,,
50,1850,-0.10500000000000004,-0.11,,,,
51,1851,-0.03500000000000003,-0.11,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,0.16499999999999998,-0.05,,,,
59,1859,,,,,,
60,1860,-0.675,-0.04,,,,
61,1861,,,,,,
62,1862,-0.615,-0.02,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.305,-0.02,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,-0.065,0.01,,,,
69,1869,0.31499999999999995,0.02,,,,
70,1870,0.285,0.04,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.24500000000000005,0.11,,,,
75,1875,-0.415,0.12,,,,
76,1876,0.05499999999999999,0.11,,,,
77,1877,0.14499999999999996,0.11,,,,
78,1878,0.40499999999999997,0.11,,,,
79,1879,0.024999999999999967,0.11,,,,
80,1880,0.295,0.11,,,,
81,1881,0.475,0.1,,,,
82,1882,0.355,0.11,,,,
83,1883,,,,,,
84,1884,0.125,0.09,,,,
85,1885,-0.34500000000000003,0.07,,,,
86,1886,-0.09500000000000003,0.06,,,,
87,1887,-0.065,0.06,,,,
88,1888,0.15499999999999997,0.05,,,,
89,1889,-0.22500000000000003,0.07,,,,
90,1890,-0.195,0.09,,,,
91,1891,0.32499999999999996,0.13,,,,
92,1892,0.575,0.17,,,,
93,1893,0.495,0.2,,,,
94,1894,-0.0050000000000000044,0.24,,,,
95,1895,-0.065,0.27,,,,
96,1896,0.44499999999999995,0.29,,,,
97,1897,0.625,0.3,,,,
98,1898,0.014999999999999958,0.29,,,,
99,1899,0.665,0.27,,,,
100,1900,0.14499999999999996,0.24,,,,
101,1901,0.485,0.22,,,,
102,1902,0.495,0.19,,,,
103,1903,0.044999999999999984,0.15,,,,
104,1904,-0.3950000000000001,0.12,,,,
105,1905,-0.05499999999999999,0.09,,,,
106,1906,0.22499999999999998,0.08,,,,
107,1907,-0.12500000000000006,0.07,,,,
108,1908,-0.16499999999999998,0.07,,,,
109,1909,-0.10500000000000004,0.07,,,,
110,1910,0.32499999999999996,0.08,,,,
111,1911,0.07499999999999996,0.08,,,,
112,1912,0.31499999999999995,0.08,,,,
113,1913,0.505,0.07,,,,
114,1914,0.024999999999999967,0.07,,,,
115,1915,0.19499999999999998,0.07,,,,
116,1916,-0.08500000000000002,0.08,,,,
117,1917,-0.175,0.08,,,,
118,1918,-0.23500000000000004,0.08,,,,
119,1919,-0.09500000000000003,0.09,,,,
120,1920,0.10499999999999998,0.11,,,,
121,1921,0.27499999999999997,0.14,,,,
122,1922,0.22499999999999998,0.16,,,,
123,1923,0.39499999999999996,0.18,,,,
124,1924,0.21499999999999997,0.2,,,,
125,1925,0.24499999999999997,0.22,,,,
126,1926,0.755,0.24,,,,
127,1927,0.175,0.24,,,,
128,1928,0.09499999999999997,0.25,,,,
129,1929,0.024999999999999967,0.24,,,,
130,1930,-0.05499999999999999,0.24,,,,
131,1931,0.505,0.23,,,,
132,1932,0.345,0.23,,,,
133,1933,0.435,0.24,,,,
134,1934,0.10499999999999998,0.25,,,,
135,1935,0.11499999999999999,0.27,,,,
136,1936,0.27499999999999997,0.29,,,,
137,1937,0.33499999999999996,0.3,,,,
138,1938,0.31499999999999995,0.32,,,,
139,1939,0.14499999999999996,0.33,,,,
140,1940,0.415,0.34,,,,
141,1941,0.6950000000000001,0.35,,,,
142,1942,0.375,0.36,,,,
143,1943,0.05499999999999999,0.36,,,,
144,1944,0.565,0.36,,,,
145,1945,0.655,0.34,,,,
