Cameroon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
180,1980,0.8713333333333334,0.68,,,,
181,1981,0.5513333333333335,0.71,,,,
182,1982,0.5813333333333334,0.73,,,,
183,1983,0.9513333333333334,0.76,,,,
184,1984,0.7413333333333334,0.77,,,,
185,1985,0.6413333333333334,0.78,,,,
186,1986,0.7713333333333334,0.79,,,,
187,1987,1.2813333333333334,0.79,,,,
188,1988,0.8813333333333334,0.8,,,,
189,1989,0.40133333333333343,0.81,,,,
190,1990,1.1113333333333335,0.83,,,,
191,1991,0.9313333333333333,0.84,,,,
192,1992,0.4913333333333334,0.86,,,,
193,1993,0.8013333333333335,0.88,,,,
194,1994,0.7513333333333334,0.89,,,,
195,1995,0.9513333333333334,0.92,,,,
196,1996,0.8213333333333335,0.95,,,,
197,1997,1.0413333333333334,0.99,,,,
198,1998,1.6213333333333335,1.04,,,,
199,1999,1.0413333333333334,1.1,,,,
200,2000,0.9113333333333333,1.15,,,,
201,2001,0.9613333333333334,1.21,,,,
202,2002,1.3413333333333335,1.26,,,,
203,2003,1.4413333333333334,1.3,,,,
204,2004,1.4413333333333334,1.34,,,,
205,2005,1.6413333333333333,1.36,1.22,1.22,1.24,1.21
206,2006,1.5213333333333334,1.38,1.25,1.25,1.27,1.24
207,2007,1.4113333333333333,1.39,1.28,1.28,1.3,1.27
208,2008,1.3713333333333333,1.39,1.31,1.31,1.33,1.31
209,2009,1.6313333333333333,1.4,1.34,1.34,1.36,1.34
210,2010,1.5713333333333335,1.4,1.37,1.37,1.39,1.37
211,2011,1.1013333333333333,1.41,1.4,1.4,1.41,1.4
212,2012,1.0113333333333334,1.42,1.43,1.43,1.44,1.44
213,2013,1.2313333333333334,1.44,1.46,1.47,1.47,1.47
214,2014,1.2613333333333334,1.45,1.49,1.5,1.5,1.5
215,2015,1.4113333333333333,1.47,1.53,1.53,1.52,1.53
216,2016,1.6813333333333333,1.48,1.55,1.55,1.54,1.56
