Democratic Republic of the Congo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
145,1945,0.6073333333333333,0.52,,,,
146,1946,0.41733333333333333,0.51,,,,
147,1947,0.5173333333333333,0.5,,,,
148,1948,0.47733333333333333,0.48,,,,
149,1949,0.5873333333333334,0.46,,,,
150,1950,0.29733333333333334,0.44,,,,
151,1951,0.44733333333333336,0.42,,,,
152,1952,0.5673333333333334,0.42,,,,
153,1953,0.47733333333333333,0.41,,,,
154,1954,0.23733333333333334,0.41,,,,
155,1955,0.15733333333333333,0.4,,,,
156,1956,0.06733333333333336,0.4,,,,
157,1957,0.3973333333333333,0.39,,,,
158,1958,0.6973333333333334,0.38,,,,
159,1959,0.5873333333333334,0.38,,,,
160,1960,0.4073333333333333,0.38,,,,
161,1961,0.35733333333333334,0.38,,,,
162,1962,0.31733333333333336,0.39,,,,
163,1963,0.3873333333333333,0.4,,,,
164,1964,0.30733333333333335,0.4,,,,
165,1965,0.30733333333333335,0.41,,,,
166,1966,0.5073333333333333,0.42,,,,
167,1967,0.29733333333333334,0.43,,,,
168,1968,0.2673333333333333,0.44,,,,
169,1969,0.6473333333333333,0.45,,,,
170,1970,0.6373333333333333,0.47,,,,
171,1971,0.23733333333333334,0.49,,,,
172,1972,0.6173333333333333,0.52,,,,
173,1973,0.8173333333333334,0.56,,,,
174,1974,0.32733333333333337,0.6,,,,
175,1975,0.3773333333333333,0.63,,,,
176,1976,0.3773333333333333,0.67,,,,
177,1977,0.8173333333333334,0.7,,,,
178,1978,0.7373333333333334,0.73,,,,
179,1979,0.9473333333333334,0.76,,,,
180,1980,0.9773333333333334,0.8,,,,
181,1981,0.9073333333333333,0.83,,,,
182,1982,0.8073333333333333,0.86,,,,
183,1983,1.1673333333333333,0.88,,,,
184,1984,0.8073333333333333,0.9,,,,
185,1985,0.7073333333333334,0.91,,,,
186,1986,0.7773333333333333,0.91,,,,
187,1987,1.3773333333333333,0.92,,,,
188,1988,1.0873333333333333,0.92,,,,
189,1989,0.7273333333333334,0.93,,,,
190,1990,1.0373333333333334,0.95,,,,
191,1991,0.8473333333333333,0.97,,,,
192,1992,0.9673333333333334,0.99,,,,
193,1993,0.9273333333333333,1.01,,,,
194,1994,0.9973333333333334,1.03,,,,
195,1995,1.1473333333333333,1.05,,,,
196,1996,0.8973333333333333,1.08,,,,
197,1997,1.3073333333333332,1.11,,,,
198,1998,1.5473333333333334,1.15,,,,
199,1999,0.8473333333333333,1.19,,,,
200,2000,1.1373333333333333,1.22,,,,
201,2001,1.0373333333333334,1.25,,,,
202,2002,1.3973333333333333,1.28,,,,
203,2003,1.3973333333333333,1.3,,,,
204,2004,1.3773333333333333,1.32,,,,
205,2005,1.9973333333333334,1.33,1.17,1.17,1.22,1.16
206,2006,1.5673333333333335,1.35,1.2,1.21,1.25,1.2
207,2007,1.3473333333333333,1.36,1.23,1.24,1.28,1.23
208,2008,1.2173333333333334,1.37,1.27,1.27,1.3,1.27
209,2009,1.4473333333333334,1.38,1.3,1.31,1.33,1.3
210,2010,1.6873333333333334,1.38,1.34,1.34,1.36,1.34
211,2011,1.2173333333333334,1.39,1.38,1.38,1.39,1.38
212,2012,1.0573333333333332,1.4,1.41,1.41,1.42,1.41
213,2013,1.3373333333333333,1.42,1.45,1.45,1.45,1.45
214,2014,1.3173333333333332,1.44,1.48,1.48,1.48,1.49
215,2015,1.4373333333333334,1.45,1.52,1.52,1.5,1.52
216,2016,1.6973333333333334,1.47,1.55,1.55,1.53,1.55
217,2017,1.5073333333333334,1.49,1.58,1.58,1.55,1.58
218,2018,1.3273333333333333,1.51,1.61,1.61,1.57,1.62
219,2019,1.6273333333333333,1.53,1.64,1.64,1.59,1.65
220,2020,1.6373333333333333,1.55,1.68,1.67,1.62,1.68
221,2021,,,1.71,1.7,1.65,1.71
222,2022,,,1.74,1.73,1.68,1.75
223,2023,,,1.77,1.75,1.7,1.78
224,2024,,,1.79,1.78,1.73,1.81
225,2025,,,1.82,1.8,1.75,1.85
226,2026,,,1.85,1.83,1.78,1.89
227,2027,,,1.88,1.86,1.81,1.92
228,2028,,,1.91,1.88,1.84,1.96
229,2029,,,1.94,1.91,1.87,1.99
230,2030,,,1.96,1.93,1.9,2.03
231,2031,,,1.99,1.96,1.93,2.06
232,2032,,,2.01,1.98,1.96,2.1
233,2033,,,2.03,2.01,1.99,2.13
234,2034,,,2.05,2.03,2.02,2.17
235,2035,,,2.07,2.05,2.05,2.21
236,2036,,,2.09,2.08,2.09,2.24
237,2037,,,2.1,2.1,2.12,2.28
