Rwanda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
184,1984,0.7757142857142857,0.97,,,,
185,1985,0.9057142857142857,0.97,,,,
186,1986,0.9557142857142857,0.97,,,,
187,1987,1.4457142857142857,0.96,,,,
188,1988,1.0557142857142856,0.96,,,,
189,1989,0.5957142857142856,0.96,,,,
190,1990,1.0057142857142858,0.97,,,,
191,1991,0.6457142857142857,0.98,,,,
192,1992,1.0457142857142856,1.0,,,,
193,1993,0.9857142857142858,1.02,,,,
194,1994,0.9557142857142857,1.04,,,,
195,1995,1.2557142857142858,1.06,,,,
196,1996,0.8357142857142856,1.08,,,,
197,1997,1.4957142857142858,1.11,,,,
198,1998,1.3957142857142857,1.15,,,,
199,1999,0.7357142857142858,1.18,,,,
200,2000,1.1157142857142857,1.22,,,,
201,2001,0.9757142857142858,1.25,,,,
202,2002,1.3457142857142856,1.27,,,,
203,2003,1.3357142857142856,1.3,,,,
204,2004,1.4057142857142857,1.32,,,,
205,2005,2.1057142857142854,1.34,1.19,1.2,1.23,1.18
206,2006,1.6557142857142857,1.36,1.23,1.23,1.26,1.22
207,2007,1.3357142857142856,1.38,1.26,1.27,1.29,1.25
208,2008,1.2957142857142856,1.39,1.3,1.3,1.32,1.29
209,2009,1.5157142857142858,1.4,1.33,1.33,1.35,1.33
210,2010,1.9457142857142857,1.41,1.37,1.37,1.38,1.36
211,2011,1.2657142857142858,1.42,1.4,1.4,1.41,1.4
212,2012,1.2857142857142858,1.44,1.44,1.43,1.44,1.44
213,2013,1.3457142857142856,1.45,1.47,1.47,1.47,1.47
214,2014,1.4357142857142857,1.46,1.51,1.5,1.5,1.51
215,2015,1.5557142857142858,1.48,1.54,1.54,1.53,1.54
216,2016,1.7757142857142858,1.49,1.57,1.56,1.55,1.57
217,2017,1.5457142857142858,1.51,1.6,1.59,1.58,1.6
218,2018,1.2857142857142858,1.53,1.62,1.62,1.6,1.63
219,2019,1.5557142857142858,1.54,1.65,1.65,1.62,1.66
220,2020,1.6057142857142856,1.56,1.68,1.68,1.65,1.69
221,2021,,,1.71,1.71,1.68,1.72
222,2022,,,1.74,1.73,1.71,1.76
223,2023,,,1.77,1.76,1.74,1.79
224,2024,,,1.8,1.79,1.76,1.83
225,2025,,,1.83,1.81,1.79,1.86
226,2026,,,1.85,1.84,1.81,1.9
227,2027,,,1.88,1.86,1.84,1.93
228,2028,,,1.91,1.89,1.87,1.96
229,2029,,,1.94,1.91,1.9,2.0
230,2030,,,1.97,1.94,1.93,2.03
231,2031,,,1.99,1.97,1.95,2.06
232,2032,,,2.01,1.99,1.98,2.09
233,2033,,,2.03,2.02,2.0,2.13
234,2034,,,2.05,2.04,2.03,2.16
235,2035,,,2.07,2.07,2.06,2.2
236,2036,,,2.09,2.09,2.09,2.24
237,2037,,,2.1,2.12,2.13,2.28
238,2038,,,2.12,2.14,2.16,2.32
239,2039,,,2.13,2.17,2.2,2.36
240,2040,,,2.15,2.19,2.23,2.41
241,2041,,,2.16,2.22,2.27,2.45
242,2042,,,2.17,2.25,2.31,2.49
243,2043,,,2.18,2.28,2.34,2.53
244,2044,,,2.19,2.3,2.37,2.57
245,2045,,,2.2,2.33,2.41,2.61
246,2046,,,2.22,2.36,2.45,2.65
247,2047,,,2.22,2.39,2.49,2.69
248,2048,,,2.23,2.42,2.53,2.73
249,2049,,,2.24,2.45,2.56,2.78
250,2050,,,2.24,2.47,2.59,2.82
251,2051,,,2.25,2.5,2.62,2.87
252,2052,,,2.26,2.52,2.66,2.92
253,2053,,,2.26,2.55,2.7,2.97
254,2054,,,2.27,2.57,2.73,3.01
255,2055,,,2.27,2.6,2.77,3.06
256,2056,,,2.28,2.62,2.81,3.11
257,2057,,,2.28,2.65,2.85,3.16
258,2058,,,2.29,2.67,2.89,3.21
259,2059,,,2.29,2.69,2.93,3.25
260,2060,,,2.29,2.71,2.98,3.29
261,2061,,,2.29,2.73,3.02,3.34
262,2062,,,2.29,2.75,3.06,3.39
263,2063,,,2.29,2.77,3.11,3.44
264,2064,,,2.29,2.79,3.15,3.49
265,2065,,,2.29,2.8,3.19,3.53
266,2066,,,2.28,2.82,3.22,3.59
267,2067,,,2.28,2.84,3.26,3.64
268,2068,,,2.27,2.85,3.3,3.68
269,2069,,,2.27,2.88,3.34,3.74
270,2070,,,2.27,2.9,3.38,3.79
271,2071,,,2.27,2.92,3.42,3.84
272,2072,,,2.27,2.94,3.46,3.89
273,2073,,,2.27,2.95,3.49,3.94
274,2074,,,2.27,2.97,3.53,3.99
275,2075,,,2.27,2.99,3.57,4.04
276,2076,,,2.27,3.01,3.61,4.1
277,2077,,,2.27,3.03,3.66,4.15
278,2078,,,2.27,3.05,3.7,4.2
279,2079,,,2.27,3.06,3.74,4.26
280,2080,,,2.26,3.08,3.78,4.32
281,2081,,,2.25,3.09,3.82,4.37
282,2082,,,2.24,3.11,3.87,4.43
283,2083,,,2.23,3.12,3.91,4.49
284,2084,,,2.23,3.14,3.96,4.54
285,2085,,,2.22,3.16,4.0,4.6
286,2086,,,2.22,3.18,4.04,4.66
287,2087,,,2.21,3.19,4.08,4.72
288,2088,,,2.2,3.21,4.12,4.78
289,2089,,,2.19,3.23,4.16,4.84
290,2090,,,2.18,3.24,4.19,4.9
291,2091,,,2.18,3.26,4.23,4.95
292,2092,,,2.17,3.27,4.27,5.01
293,2093,,,2.17,3.28,4.31,5.07
294,2094,,,2.17,3.29,4.35,5.12
295,2095,,,2.16,3.31,4.4,5.18
296,2096,,,2.16,3.32,4.44,5.24
297,2097,,,2.16,3.33,4.48,5.29
298,2098,,,2.15,3.34,4.53,5.34
299,2099,,,2.15,3.35,4.57,5.4
300,2100,,,2.15,3.36,4.62,5.46
