French Polynesia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
184,1984,0.7433333333333334,0.75,,,,
185,1985,0.6733333333333333,0.79,,,,
186,1986,0.8433333333333333,0.83,,,,
187,1987,0.9733333333333334,0.87,,,,
188,1988,1.0233333333333334,0.91,,,,
189,1989,0.8033333333333333,0.95,,,,
190,1990,1.1233333333333333,0.98,,,,
191,1991,1.0433333333333334,1.01,,,,
192,1992,1.1333333333333333,1.03,,,,
193,1993,1.0633333333333335,1.05,,,,
194,1994,1.0833333333333335,1.07,,,,
195,1995,1.0933333333333333,1.09,,,,
196,1996,0.9333333333333333,1.11,,,,
197,1997,0.7133333333333334,1.13,,,,
198,1998,1.3333333333333335,1.15,,,,
199,1999,1.2433333333333334,1.18,,,,
200,2000,1.0833333333333335,1.2,,,,
201,2001,1.1033333333333335,1.23,,,,
202,2002,1.5533333333333335,1.26,,,,
203,2003,1.3633333333333333,1.28,,,,
204,2004,1.2733333333333334,1.31,,,,
205,2005,1.3233333333333333,1.33,1.22,1.24,1.23,1.23
206,2006,1.4133333333333333,1.34,1.25,1.26,1.26,1.25
207,2007,1.3633333333333333,1.34,1.27,1.28,1.28,1.27
208,2008,1.1333333333333333,1.34,1.29,1.3,1.3,1.3
209,2009,1.6133333333333333,1.34,1.32,1.32,1.32,1.32
210,2010,1.5633333333333332,1.34,1.34,1.34,1.34,1.34
211,2011,1.0433333333333334,1.35,1.36,1.36,1.36,1.36
212,2012,1.3833333333333333,1.36,1.38,1.38,1.38,1.38
213,2013,1.1633333333333333,1.38,1.4,1.4,1.4,1.4
214,2014,1.3233333333333333,1.39,1.43,1.42,1.42,1.42
215,2015,1.2633333333333332,1.4,1.44,1.44,1.44,1.44
216,2016,1.6733333333333333,1.42,1.46,1.45,1.45,1.45
217,2017,1.5233333333333334,1.43,1.47,1.46,1.47,1.47
218,2018,1.2833333333333332,1.45,1.49,1.48,1.48,1.49
219,2019,1.5033333333333334,1.46,1.5,1.49,1.5,1.51
220,2020,1.5433333333333334,1.48,1.52,1.51,1.51,1.52
221,2021,,,1.53,1.52,1.53,1.54
222,2022,,,1.55,1.54,1.54,1.56
223,2023,,,1.56,1.56,1.56,1.58
224,2024,,,1.57,1.58,1.58,1.59
225,2025,,,1.59,1.6,1.6,1.61
226,2026,,,1.6,1.61,1.63,1.63
227,2027,,,1.61,1.63,1.65,1.64
228,2028,,,1.62,1.65,1.67,1.66
229,2029,,,1.63,1.67,1.68,1.68
230,2030,,,1.65,1.69,1.7,1.7
231,2031,,,1.66,1.71,1.72,1.73
232,2032,,,1.67,1.72,1.74,1.75
233,2033,,,1.69,1.74,1.75,1.77
234,2034,,,1.7,1.76,1.77,1.8
235,2035,,,1.71,1.77,1.78,1.82
236,2036,,,1.72,1.79,1.8,1.85
237,2037,,,1.73,1.8,1.81,1.87
238,2038,,,1.74,1.82,1.83,1.9
239,2039,,,1.74,1.83,1.85,1.93
240,2040,,,1.74,1.84,1.87,1.95
241,2041,,,1.75,1.86,1.89,1.98
242,2042,,,1.75,1.87,1.92,2.0
243,2043,,,1.76,1.89,1.94,2.03
244,2044,,,1.76,1.9,1.96,2.06
245,2045,,,1.77,1.91,1.98,2.08
246,2046,,,1.77,1.93,2.01,2.11
247,2047,,,1.78,1.95,2.03,2.14
248,2048,,,1.78,1.96,2.05,2.17
249,2049,,,1.79,1.98,2.07,2.2
250,2050,,,1.79,1.99,2.09,2.22
251,2051,,,1.8,2.01,2.11,2.25
252,2052,,,1.81,2.02,2.13,2.28
253,2053,,,1.81,2.04,2.15,2.31
254,2054,,,1.82,2.05,2.17,2.34
255,2055,,,1.82,2.07,2.19,2.37
256,2056,,,1.83,2.08,2.21,2.41
257,2057,,,1.83,2.09,2.24,2.44
258,2058,,,1.83,2.1,2.26,2.47
259,2059,,,1.83,2.11,2.28,2.5
260,2060,,,1.84,2.13,2.3,2.53
261,2061,,,1.84,2.14,2.32,2.56
262,2062,,,1.83,2.15,2.34,2.59
263,2063,,,1.83,2.17,2.36,2.62
264,2064,,,1.83,2.18,2.38,2.64
265,2065,,,1.82,2.2,2.4,2.67
266,2066,,,1.82,2.21,2.43,2.7
267,2067,,,1.82,2.22,2.45,2.72
268,2068,,,1.83,2.24,2.47,2.75
269,2069,,,1.83,2.25,2.49,2.78
270,2070,,,1.83,2.26,2.51,2.8
271,2071,,,1.83,2.27,2.53,2.83
272,2072,,,1.83,2.27,2.55,2.86
273,2073,,,1.83,2.28,2.57,2.89
274,2074,,,1.83,2.28,2.6,2.92
275,2075,,,1.83,2.28,2.62,2.95
276,2076,,,1.83,2.29,2.64,2.98
277,2077,,,1.83,2.3,2.67,3.01
278,2078,,,1.82,2.31,2.7,3.04
279,2079,,,1.82,2.31,2.73,3.07
280,2080,,,1.82,2.32,2.75,3.1
281,2081,,,1.81,2.33,2.78,3.13
282,2082,,,1.82,2.34,2.81,3.16
283,2083,,,1.82,2.35,2.83,3.19
284,2084,,,1.82,2.36,2.86,3.22
285,2085,,,1.82,2.37,2.88,3.24
286,2086,,,1.82,2.39,2.9,3.27
287,2087,,,1.82,2.4,2.93,3.3
288,2088,,,1.81,2.41,2.95,3.33
289,2089,,,1.81,2.41,2.97,3.36
290,2090,,,1.81,2.42,3.0,3.4
291,2091,,,1.81,2.43,3.02,3.43
292,2092,,,1.81,2.43,3.04,3.46
293,2093,,,1.8,2.44,3.06,3.48
294,2094,,,1.8,2.44,3.08,3.51
295,2095,,,1.79,2.45,3.11,3.54
296,2096,,,1.79,2.45,3.13,3.57
297,2097,,,1.78,2.45,3.15,3.59
298,2098,,,1.78,2.46,3.17,3.62
299,2099,,,1.77,2.46,3.19,3.64
300,2100,,,1.77,2.46,3.21,3.67
