Congo (Kinshasa),year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
180,1980,0.9906666666666668,0.8,,,,
181,1981,0.8806666666666667,0.83,,,,
182,1982,0.7606666666666668,0.86,,,,
183,1983,1.1506666666666667,0.88,,,,
184,1984,0.8206666666666668,0.9,,,,
185,1985,0.7106666666666668,0.91,,,,
186,1986,0.7806666666666667,0.91,,,,
187,1987,1.3506666666666667,0.91,,,,
188,1988,1.0806666666666667,0.92,,,,
189,1989,0.7506666666666668,0.93,,,,
190,1990,1.0306666666666668,0.94,,,,
191,1991,0.8306666666666668,0.96,,,,
192,1992,0.9206666666666667,0.98,,,,
193,1993,0.9206666666666667,1.0,,,,
194,1994,0.9806666666666668,1.01,,,,
195,1995,1.1206666666666667,1.03,,,,
196,1996,0.8606666666666667,1.06,,,,
197,1997,1.2606666666666668,1.1,,,,
198,1998,1.5406666666666669,1.13,,,,
199,1999,0.8406666666666667,1.18,,,,
200,2000,1.1206666666666667,1.21,,,,
201,2001,1.0206666666666668,1.25,,,,
202,2002,1.3806666666666667,1.28,,,,
203,2003,1.4106666666666667,1.3,,,,
204,2004,1.4206666666666667,1.33,,,,
205,2005,1.9706666666666668,1.34,1.19,1.2,1.24,1.19
206,2006,1.5706666666666669,1.36,1.23,1.23,1.27,1.23
207,2007,1.3506666666666667,1.37,1.26,1.27,1.3,1.26
208,2008,1.2206666666666668,1.38,1.3,1.3,1.33,1.3
209,2009,1.4506666666666668,1.39,1.33,1.33,1.36,1.33
210,2010,1.7006666666666668,1.4,1.37,1.37,1.38,1.37
211,2011,1.2106666666666668,1.4,1.4,1.4,1.41,1.4
212,2012,1.0606666666666666,1.42,1.44,1.43,1.44,1.44
213,2013,1.3606666666666667,1.44,1.47,1.47,1.47,1.47
214,2014,1.3306666666666667,1.46,1.51,1.5,1.5,1.51
215,2015,1.4306666666666668,1.48,1.54,1.54,1.53,1.54
216,2016,1.7106666666666668,1.5,1.57,1.57,1.55,1.57
217,2017,1.5306666666666668,1.53,1.6,1.6,1.57,1.6
218,2018,1.3906666666666667,1.55,1.63,1.63,1.59,1.63
219,2019,1.6606666666666667,1.58,1.66,1.66,1.62,1.66
220,2020,1.7406666666666668,1.6,1.69,1.69,1.64,1.69
221,2021,,,1.72,1.72,1.67,1.73
222,2022,,,1.75,1.75,1.7,1.76
223,2023,,,1.78,1.77,1.73,1.79
224,2024,,,1.81,1.8,1.75,1.82
225,2025,,,1.84,1.83,1.78,1.86
226,2026,,,1.87,1.85,1.8,1.89
