Qatar,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
130,1930,0.14677419354838708,0.13,,,,
131,1931,0.23677419354838708,0.11,,,,
132,1932,-0.1132258064516129,0.09,,,,
133,1933,-0.2632258064516129,0.08,,,,
134,1934,-0.15322580645161293,0.08,,,,
135,1935,0.3067741935483871,0.09,,,,
136,1936,-0.0532258064516129,0.11,,,,
137,1937,-0.06322580645161291,0.13,,,,
138,1938,0.10677419354838708,0.16,,,,
139,1939,0.006774193548387097,0.19,,,,
140,1940,0.4267741935483871,0.23,,,,
141,1941,0.4767741935483871,0.27,,,,
142,1942,0.5567741935483871,0.3,,,,
143,1943,0.09677419354838707,0.32,,,,
144,1944,0.626774193548387,0.33,,,,
145,1945,0.2567741935483871,0.35,,,,
146,1946,0.4267741935483871,0.36,,,,
147,1947,0.8267741935483871,0.37,,,,
148,1948,0.23677419354838708,0.37,,,,
149,1949,-0.01322580645161292,0.37,,,,
150,1950,-0.13322580645161292,0.36,,,,
151,1951,0.616774193548387,0.35,,,,
152,1952,0.4267741935483871,0.33,,,,
153,1953,0.4967741935483871,0.32,,,,
154,1954,0.636774193548387,0.31,,,,
155,1955,0.3567741935483871,0.31,,,,
156,1956,0.016774193548387106,0.31,,,,
157,1957,0.0767741935483871,0.3,,,,
158,1958,0.5267741935483871,0.29,,,,
159,1959,-0.29322580645161295,0.28,,,,
160,1960,0.4767741935483871,0.26,,,,
161,1961,0.1667741935483871,0.25,,,,
162,1962,0.5567741935483871,0.24,,,,
163,1963,0.2267741935483871,0.25,,,,
164,1964,-0.44322580645161286,0.26,,,,
165,1965,0.3767741935483871,0.27,,,,
166,1966,0.5567741935483871,0.27,,,,
167,1967,-0.13322580645161292,0.28,,,,
168,1968,0.006774193548387097,0.28,,,,
169,1969,0.7967741935483871,0.29,,,,
170,1970,0.5767741935483871,0.3,,,,
171,1971,0.17677419354838708,0.33,,,,
172,1972,-0.16322580645161294,0.37,,,,
173,1973,0.6067741935483871,0.41,,,,
174,1974,0.3467741935483871,0.46,,,,
175,1975,0.1567741935483871,0.5,,,,
176,1976,0.20677419354838708,0.53,,,,
177,1977,1.0067741935483872,0.54,,,,
178,1978,0.6567741935483871,0.55,,,,
179,1979,1.156774193548387,0.56,,,,
180,1980,0.9967741935483871,0.59,,,,
181,1981,1.0167741935483872,0.61,,,,
182,1982,-0.19322580645161286,0.63,,,,
183,1983,-0.12322580645161291,0.63,,,,
184,1984,0.2667741935483871,0.63,,,,
185,1985,0.5467741935483871,0.61,,,,
186,1986,0.6567741935483871,0.58,,,,
187,1987,0.886774193548387,0.57,,,,
188,1988,0.876774193548387,0.57,,,,
189,1989,0.2267741935483871,0.58,,,,
190,1990,0.9067741935483871,0.61,,,,
191,1991,0.2467741935483871,0.66,,,,
192,1992,-0.3432258064516129,0.71,,,,
193,1993,0.4667741935483871,0.76,,,,
194,1994,0.9267741935483871,0.83,,,,
195,1995,0.4967741935483871,0.9,,,,
196,1996,0.9767741935483871,0.98,,,,
197,1997,0.4767741935483871,1.06,,,,
198,1998,1.786774193548387,1.15,,,,
199,1999,1.906774193548387,1.23,,,,
200,2000,1.356774193548387,1.31,,,,
201,2001,1.616774193548387,1.38,,,,
202,2002,1.566774193548387,1.44,,,,
203,2003,1.686774193548387,1.49,,,,
204,2004,1.506774193548387,1.52,,,,
205,2005,1.426774193548387,1.55,1.58,1.56,1.57,1.54
206,2006,1.546774193548387,1.56,1.61,1.59,1.61,1.57
207,2007,1.536774193548387,1.57,1.65,1.63,1.64,1.61
208,2008,1.2567741935483872,1.59,1.68,1.66,1.68,1.65
209,2009,1.506774193548387,1.62,1.71,1.7,1.71,1.69
210,2010,2.3567741935483872,1.66,1.74,1.74,1.74,1.73
211,2011,1.4867741935483871,1.7,1.77,1.77,1.78,1.77
212,2012,1.756774193548387,1.76,1.8,1.8,1.81,1.81
213,2013,1.446774193548387,1.82,1.84,1.84,1.84,1.84
214,2014,1.816774193548387,1.87,1.87,1.87,1.87,1.88
215,2015,2.2067741935483873,1.93,1.9,1.91,1.91,1.92
216,2016,1.806774193548387,1.98,1.93,1.94,1.93,1.95
217,2017,2.156774193548387,2.04,1.96,1.97,1.96,1.99
218,2018,2.466774193548387,2.1,1.99,2.01,1.99,2.02
219,2019,2.1667741935483873,2.16,2.03,2.05,2.02,2.06
220,2020,1.9767741935483871,2.22,2.07,2.09,2.05,2.1
221,2021,,,2.11,2.13,2.08,2.14
222,2022,,,2.14,2.16,2.11,2.19
223,2023,,,2.18,2.2,2.14,2.23
224,2024,,,2.22,2.23,2.17,2.28
225,2025,,,2.26,2.26,2.2,2.33
226,2026,,,2.3,2.29,2.23,2.37
227,2027,,,2.33,2.31,2.27,2.42
228,2028,,,2.36,2.34,2.31,2.46
229,2029,,,2.39,2.37,2.35,2.51
230,2030,,,2.42,2.39,2.39,2.55
231,2031,,,2.45,2.41,2.43,2.59
232,2032,,,2.48,2.44,2.47,2.63
233,2033,,,2.51,2.46,2.51,2.66
234,2034,,,2.53,2.49,2.54,2.7
235,2035,,,2.55,2.52,2.58,2.74
236,2036,,,2.57,2.55,2.62,2.78
237,2037,,,2.59,2.58,2.66,2.82
238,2038,,,2.61,2.61,2.69,2.86
239,2039,,,2.63,2.64,2.73,2.91
240,2040,,,2.64,2.67,2.76,2.96
241,2041,,,2.66,2.7,2.8,3.01
242,2042,,,2.67,2.73,2.84,3.06
243,2043,,,2.69,2.76,2.87,3.11
244,2044,,,2.7,2.79,2.91,3.16
245,2045,,,2.71,2.82,2.96,3.22
246,2046,,,2.72,2.85,3.0,3.27
247,2047,,,2.73,2.89,3.05,3.33
248,2048,,,2.74,2.92,3.09,3.38
249,2049,,,2.75,2.95,3.13,3.43
250,2050,,,2.76,2.98,3.17,3.48
251,2051,,,2.77,3.01,3.22,3.53
252,2052,,,2.77,3.04,3.26,3.59
253,2053,,,2.78,3.06,3.3,3.64
254,2054,,,2.78,3.09,3.34,3.7
255,2055,,,2.79,3.11,3.39,3.75
256,2056,,,2.79,3.13,3.43,3.8
257,2057,,,2.8,3.15,3.47,3.86
258,2058,,,2.81,3.17,3.51,3.92
259,2059,,,2.81,3.19,3.55,3.98
260,2060,,,2.81,3.21,3.59,4.02
261,2061,,,2.81,3.24,3.63,4.08
262,2062,,,2.8,3.26,3.67,4.14
263,2063,,,2.8,3.28,3.71,4.2
264,2064,,,2.79,3.31,3.75,4.25
265,2065,,,2.79,3.33,3.79,4.31
266,2066,,,2.78,3.36,3.83,4.37
267,2067,,,2.77,3.38,3.88,4.43
268,2068,,,2.77,3.41,3.92,4.49
269,2069,,,2.76,3.43,3.96,4.55
270,2070,,,2.75,3.44,4.0,4.6
271,2071,,,2.75,3.46,4.05,4.66
272,2072,,,2.74,3.47,4.1,4.72
273,2073,,,2.74,3.48,4.14,4.77
274,2074,,,2.74,3.5,4.18,4.83
275,2075,,,2.73,3.51,4.23,4.88
276,2076,,,2.73,3.51,4.28,4.94
277,2077,,,2.73,3.53,4.33,4.99
278,2078,,,2.72,3.55,4.38,5.05
279,2079,,,2.72,3.57,4.43,5.11
280,2080,,,2.72,3.59,4.48,5.17
281,2081,,,2.72,3.6,4.53,5.23
282,2082,,,2.72,3.62,4.57,5.3
283,2083,,,2.71,3.64,4.62,5.37
284,2084,,,2.71,3.66,4.68,5.43
285,2085,,,2.71,3.67,4.73,5.49
286,2086,,,2.71,3.69,4.78,5.56
287,2087,,,2.7,3.7,4.83,5.62
288,2088,,,2.7,3.71,4.88,5.69
289,2089,,,2.69,3.72,4.92,5.76
290,2090,,,2.68,3.73,4.97,5.82
291,2091,,,2.66,3.74,5.01,5.88
292,2092,,,2.65,3.75,5.06,5.95
293,2093,,,2.64,3.75,5.1,6.01
294,2094,,,2.63,3.76,5.15,6.06
295,2095,,,2.62,3.77,5.19,6.13
296,2096,,,2.61,3.77,5.24,6.19
297,2097,,,2.61,3.78,5.28,6.24
298,2098,,,2.6,3.78,5.33,6.3
299,2099,,,2.59,3.78,5.37,6.36
300,2100,,,2.58,3.79,5.42,6.42
