Nigeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
151,1951,0.371875,0.35,,,,
152,1952,0.33187500000000003,0.32,,,,
153,1953,0.33187500000000003,0.31,,,,
154,1954,0.241875,0.31,,,,
155,1955,0.08187500000000003,0.3,,,,
156,1956,0.181875,0.3,,,,
157,1957,0.251875,0.31,,,,
158,1958,0.591875,0.32,,,,
159,1959,0.421875,0.33,,,,
160,1960,0.451875,0.34,,,,
161,1961,0.0018750000000000155,0.36,,,,
162,1962,0.34187500000000004,0.36,,,,
163,1963,0.691875,0.37,,,,
164,1964,0.251875,0.38,,,,
165,1965,0.291875,0.39,,,,
166,1966,0.441875,0.41,,,,
167,1967,0.231875,0.43,,,,
168,1968,0.431875,0.45,,,,
169,1969,0.8518749999999999,0.45,,,,
170,1970,0.561875,0.45,,,,
171,1971,0.421875,0.46,,,,
172,1972,0.581875,0.46,,,,
173,1973,1.171875,0.47,,,,
174,1974,0.281875,0.48,,,,
175,1975,0.201875,0.49,,,,
176,1976,0.46187500000000004,0.5,,,,
177,1977,0.551875,0.52,,,,
178,1978,0.451875,0.55,,,,
179,1979,0.791875,0.59,,,,
180,1980,0.7418750000000001,0.64,,,,
181,1981,0.571875,0.69,,,,
182,1982,0.651875,0.73,,,,
183,1983,0.811875,0.77,,,,
184,1984,0.941875,0.81,,,,
185,1985,0.7418750000000001,0.84,,,,
186,1986,0.8418749999999999,0.86,,,,
187,1987,1.391875,0.87,,,,
188,1988,0.881875,0.87,,,,
189,1989,0.15187499999999998,0.87,,,,
190,1990,1.151875,0.87,,,,
191,1991,0.821875,0.88,,,,
192,1992,0.441875,0.89,,,,
193,1993,0.911875,0.9,,,,
194,1994,0.641875,0.91,,,,
195,1995,0.971875,0.94,,,,
196,1996,1.001875,0.96,,,,
197,1997,0.971875,0.99,,,,
198,1998,1.451875,1.04,,,,
199,1999,1.181875,1.09,,,,
200,2000,0.791875,1.15,,,,
201,2001,0.881875,1.2,,,,
202,2002,1.2818749999999999,1.24,,,,
203,2003,1.3518750000000002,1.28,,,,
204,2004,1.291875,1.32,,,,
205,2005,1.621875,1.36,1.21,1.23,1.24,1.22
206,2006,1.5518750000000001,1.4,1.24,1.26,1.27,1.25
207,2007,1.441875,1.42,1.27,1.29,1.3,1.28
208,2008,1.191875,1.43,1.3,1.32,1.33,1.31
209,2009,1.651875,1.42,1.33,1.34,1.35,1.34
210,2010,1.681875,1.42,1.36,1.37,1.38,1.37
211,2011,1.301875,1.42,1.38,1.4,1.41,1.4
212,2012,1.151875,1.41,1.41,1.42,1.43,1.43
213,2013,1.391875,1.42,1.44,1.45,1.46,1.46
214,2014,1.3118750000000001,1.42,1.47,1.48,1.48,1.48
215,2015,1.411875,1.43,1.51,1.5,1.5,1.51
216,2016,1.631875,1.44,1.53,1.52,1.52,1.53
217,2017,1.451875,1.45,1.56,1.54,1.53,1.54
218,2018,1.3118750000000001,1.46,1.59,1.56,1.54,1.56
219,2019,1.531875,1.47,1.61,1.58,1.55,1.58
220,2020,1.531875,1.48,1.64,1.6,1.57,1.61
221,2021,,,1.67,1.62,1.59,1.63
222,2022,,,1.71,1.65,1.62,1.66
223,2023,,,1.74,1.68,1.64,1.69
224,2024,,,1.77,1.7,1.67,1.72
225,2025,,,1.81,1.73,1.69,1.76
226,2026,,,1.84,1.76,1.72,1.79
227,2027,,,1.87,1.78,1.75,1.82
228,2028,,,1.9,1.81,1.78,1.85
229,2029,,,1.93,1.84,1.81,1.88
230,2030,,,1.96,1.86,1.84,1.91
231,2031,,,1.99,1.88,1.87,1.94
232,2032,,,2.02,1.91,1.9,1.97
233,2033,,,2.04,1.93,1.93,2.0
234,2034,,,2.06,1.96,1.95,2.03
235,2035,,,2.08,1.98,1.98,2.07
236,2036,,,2.09,2.01,2.02,2.1
237,2037,,,2.1,2.03,2.05,2.14
238,2038,,,2.12,2.06,2.09,2.18
239,2039,,,2.13,2.08,2.12,2.22
240,2040,,,2.14,2.11,2.15,2.27
241,2041,,,2.14,2.14,2.18,2.31
242,2042,,,2.15,2.16,2.21,2.35
243,2043,,,2.16,2.19,2.24,2.39
244,2044,,,2.17,2.22,2.27,2.44
245,2045,,,2.18,2.25,2.3,2.48
246,2046,,,2.19,2.28,2.34,2.53
247,2047,,,2.2,2.31,2.37,2.58
248,2048,,,2.21,2.34,2.41,2.62
249,2049,,,2.22,2.37,2.44,2.66
250,2050,,,2.22,2.4,2.48,2.71
251,2051,,,2.23,2.43,2.52,2.75
252,2052,,,2.24,2.46,2.56,2.8
253,2053,,,2.24,2.49,2.59,2.85
254,2054,,,2.25,2.52,2.63,2.9
255,2055,,,2.26,2.55,2.67,2.95
256,2056,,,2.26,2.58,2.71,3.0
257,2057,,,2.27,2.61,2.75,3.06
258,2058,,,2.28,2.64,2.78,3.11
259,2059,,,2.28,2.66,2.82,3.16
260,2060,,,2.29,2.69,2.85,3.2
261,2061,,,2.29,2.71,2.89,3.26
262,2062,,,2.3,2.74,2.93,3.31
263,2063,,,2.3,2.76,2.97,3.36
264,2064,,,2.3,2.78,3.01,3.41
265,2065,,,2.3,2.8,3.05,3.46
266,2066,,,2.3,2.83,3.09,3.51
267,2067,,,2.3,2.85,3.13,3.56
268,2068,,,2.29,2.87,3.17,3.61
269,2069,,,2.29,2.9,3.21,3.66
270,2070,,,2.29,2.92,3.25,3.71
271,2071,,,2.28,2.94,3.29,3.76
272,2072,,,2.28,2.96,3.34,3.81
273,2073,,,2.27,2.97,3.38,3.87
274,2074,,,2.27,2.99,3.42,3.92
275,2075,,,2.27,3.01,3.46,3.98
276,2076,,,2.27,3.02,3.5,4.04
277,2077,,,2.27,3.04,3.54,4.1
278,2078,,,2.27,3.06,3.58,4.15
279,2079,,,2.28,3.07,3.62,4.22
280,2080,,,2.28,3.09,3.66,4.28
281,2081,,,2.28,3.1,3.7,4.34
282,2082,,,2.28,3.11,3.74,4.4
283,2083,,,2.28,3.13,3.78,4.47
284,2084,,,2.27,3.14,3.83,4.53
285,2085,,,2.27,3.16,3.87,4.58
286,2086,,,2.27,3.17,3.91,4.64
287,2087,,,2.26,3.19,3.95,4.7
288,2088,,,2.25,3.21,3.99,4.76
289,2089,,,2.24,3.22,4.03,4.82
290,2090,,,2.22,3.24,4.07,4.88
291,2091,,,2.21,3.26,4.11,4.94
292,2092,,,2.21,3.27,4.15,5.0
293,2093,,,2.2,3.29,4.2,5.06
294,2094,,,2.2,3.31,4.25,5.12
295,2095,,,2.19,3.32,4.3,5.18
296,2096,,,2.19,3.34,4.34,5.24
297,2097,,,2.19,3.36,4.39,5.3
298,2098,,,2.18,3.37,4.44,5.36
299,2099,,,2.18,3.39,4.49,5.41
300,2100,,,2.18,3.4,4.54,5.48
