Syria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.2748387096774194,-1.29,,,,
10,1810,-1.1548387096774193,-1.23,,,,
11,1811,-1.3448387096774193,-1.18,,,,
12,1812,-1.1648387096774195,-1.13,,,,
13,1813,-0.9848387096774195,-1.08,,,,
14,1814,-0.5848387096774194,-1.02,,,,
15,1815,-1.0348387096774192,-0.97,,,,
16,1816,-1.3748387096774195,-0.91,,,,
17,1817,-1.1148387096774193,-0.86,,,,
18,1818,-0.2548387096774194,-0.8,,,,
19,1819,-0.8648387096774194,-0.74,,,,
20,1820,-0.7348387096774195,-0.69,,,,
21,1821,-0.5248387096774194,-0.63,,,,
22,1822,-0.8948387096774194,-0.58,,,,
23,1823,-0.32483870967741946,-0.54,,,,
24,1824,0.3751612903225806,-0.5,,,,
25,1825,-0.5148387096774194,-0.48,,,,
26,1826,-0.42483870967741943,-0.47,,,,
27,1827,0.4851612903225806,-0.47,,,,
28,1828,-0.4948387096774194,-0.48,,,,
29,1829,-0.46483870967741936,-0.5,,,,
30,1830,-0.12483870967741939,-0.53,,,,
31,1831,-0.7248387096774195,-0.58,,,,
32,1832,-1.6048387096774195,-0.63,,,,
33,1833,-0.5348387096774194,-0.67,,,,
34,1834,-0.6348387096774194,-0.71,,,,
35,1835,-0.9848387096774195,-0.74,,,,
36,1836,-0.7048387096774195,-0.75,,,,
37,1837,-0.9948387096774195,-0.76,,,,
38,1838,-1.1648387096774195,-0.74,,,,
39,1839,-0.9048387096774194,-0.71,,,,
40,1840,-0.8448387096774194,-0.66,,,,
41,1841,-0.6148387096774194,-0.6,,,,
42,1842,-0.44483870967741945,-0.54,,,,
43,1843,-0.42483870967741943,-0.47,,,,
44,1844,-0.5748387096774195,-0.4,,,,
45,1845,-0.3548387096774194,-0.32,,,,
46,1846,0.3151612903225806,-0.26,,,,
47,1847,0.035161290322580585,-0.2,,,,
48,1848,-0.014838709677419404,-0.15,,,,
49,1849,-0.08483870967741941,-0.12,,,,
50,1850,-0.6248387096774194,-0.1,,,,
51,1851,0.3051612903225806,-0.09,,,,
52,1852,-0.03483870967741942,-0.09,,,,
53,1853,0.4751612903225806,-0.09,,,,
54,1854,-0.43483870967741944,-0.1,,,,
55,1855,0.10516129032258059,-0.12,,,,
56,1856,-0.33483870967741935,-0.13,,,,
57,1857,-0.7448387096774195,-0.14,,,,
58,1858,-0.10483870967741943,-0.14,,,,
59,1859,0.08516129032258057,-0.13,,,,
60,1860,0.3651612903225806,-0.12,,,,
61,1861,-0.6348387096774194,-0.1,,,,
62,1862,-0.6448387096774194,-0.07,,,,
63,1863,-0.32483870967741946,-0.04,,,,
64,1864,0.1751612903225806,-0.02,,,,
65,1865,0.3651612903225806,0.01,,,,
66,1866,0.2451612903225806,0.03,,,,
67,1867,0.045161290322580594,0.05,,,,
68,1868,-0.0748387096774194,0.08,,,,
69,1869,0.4751612903225806,0.1,,,,
70,1870,0.045161290322580594,0.13,,,,
71,1871,-0.3748387096774194,0.16,,,,
72,1872,0.3451612903225806,0.17,,,,
73,1873,0.4951612903225806,0.18,,,,
74,1874,-0.23483870967741938,0.18,,,,
75,1875,-0.7148387096774195,0.16,,,,
76,1876,0.4851612903225806,0.13,,,,
77,1877,0.6551612903225805,0.09,,,,
78,1878,0.5951612903225806,0.06,,,,
79,1879,0.7451612903225806,0.03,,,,
80,1880,-0.7248387096774195,-0.0,,,,
81,1881,-0.024838709677419413,-0.03,,,,
82,1882,-0.6648387096774194,-0.06,,,,
83,1883,-0.18483870967741944,-0.09,,,,
84,1884,-0.7848387096774193,-0.13,,,,
85,1885,0.005161290322580614,-0.16,,,,
86,1886,-0.5148387096774194,-0.17,,,,
87,1887,-0.04483870967741943,-0.18,,,,
88,1888,0.045161290322580594,-0.18,,,,
89,1889,0.12516129032258058,-0.19,,,,
90,1890,-0.20483870967741946,-0.2,,,,
91,1891,-0.08483870967741941,-0.21,,,,
92,1892,0.18516129032258058,-0.22,,,,
93,1893,-0.31483870967741945,-0.23,,,,
94,1894,-0.8148387096774193,-0.23,,,,
95,1895,-0.34483870967741936,-0.22,,,,
96,1896,-0.5348387096774194,-0.22,,,,
97,1897,-0.6748387096774194,-0.22,,,,
98,1898,-0.34483870967741936,-0.23,,,,
99,1899,0.2451612903225806,-0.24,,,,
100,1900,0.2651612903225806,-0.25,,,,
101,1901,1.0051612903225806,-0.24,,,,
102,1902,0.3551612903225806,-0.23,,,,
103,1903,-0.2848387096774194,-0.23,,,,
104,1904,-0.32483870967741946,-0.23,,,,
105,1905,-0.47483870967741937,-0.24,,,,
