South Sudan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
183,1983,0.9311111111111112,0.87,,,,
184,1984,0.8911111111111112,0.88,,,,
185,1985,0.6611111111111112,0.89,,,,
186,1986,0.8311111111111111,0.89,,,,
187,1987,1.3711111111111112,0.88,,,,
188,1988,0.9611111111111112,0.89,,,,
189,1989,0.17111111111111116,0.9,,,,
190,1990,1.0111111111111113,0.91,,,,
191,1991,0.8011111111111111,0.93,,,,
192,1992,0.5511111111111112,0.95,,,,
193,1993,0.9911111111111113,0.97,,,,
194,1994,0.8611111111111112,0.99,,,,
195,1995,1.0911111111111111,1.02,,,,
196,1996,0.9511111111111112,1.05,,,,
197,1997,1.271111111111111,1.1,,,,
198,1998,1.3711111111111112,1.16,,,,
199,1999,0.9611111111111112,1.22,,,,
200,2000,1.1411111111111112,1.27,,,,
201,2001,1.051111111111111,1.31,,,,
202,2002,1.7411111111111113,1.34,,,,
203,2003,1.4911111111111113,1.37,,,,
204,2004,1.5511111111111113,1.41,,,,
205,2005,1.9311111111111112,1.44,1.26,1.29,1.3,1.27
206,2006,1.4211111111111112,1.47,1.29,1.31,1.32,1.3
207,2007,1.041111111111111,1.5,1.32,1.34,1.35,1.33
208,2008,1.2511111111111113,1.52,1.35,1.37,1.38,1.36
209,2009,1.9411111111111112,1.52,1.38,1.4,1.41,1.39
210,2010,1.5811111111111111,1.53,1.42,1.43,1.44,1.42
211,2011,1.6911111111111112,1.53,1.45,1.45,1.46,1.45
212,2012,1.4811111111111113,1.53,1.48,1.48,1.49,1.48
213,2013,1.6011111111111112,1.52,1.51,1.51,1.52,1.51
214,2014,1.4011111111111112,1.51,1.54,1.53,1.54,1.54
215,2015,1.5111111111111113,1.49,1.57,1.56,1.56,1.57
216,2016,1.8611111111111112,1.48,1.59,1.57,1.58,1.59
217,2017,1.7211111111111113,1.46,1.62,1.6,1.59,1.61
218,2018,1.1811111111111112,1.44,1.64,1.62,1.6,1.63
219,2019,1.3911111111111112,1.43,1.67,1.65,1.61,1.65
220,2020,1.291111111111111,1.41,1.7,1.67,1.63,1.68
221,2021,,,1.72,1.7,1.65,1.71
222,2022,,,1.75,1.73,1.68,1.74
223,2023,,,1.78,1.76,1.7,1.76
224,2024,,,1.81,1.78,1.72,1.79
225,2025,,,1.84,1.81,1.74,1.83
226,2026,,,1.86,1.84,1.77,1.86
227,2027,,,1.89,1.87,1.8,1.89
228,2028,,,1.92,1.9,1.84,1.92
229,2029,,,1.95,1.92,1.87,1.94
230,2030,,,1.98,1.94,1.91,1.97
231,2031,,,2.01,1.96,1.93,1.99
232,2032,,,2.03,1.98,1.96,2.02
233,2033,,,2.05,2.01,1.98,2.04
234,2034,,,2.08,2.03,2.01,2.07
235,2035,,,2.1,2.05,2.04,2.1
236,2036,,,2.12,2.08,2.07,2.13
237,2037,,,2.14,2.1,2.1,2.17
238,2038,,,2.16,2.12,2.13,2.21
239,2039,,,2.17,2.15,2.15,2.25
240,2040,,,2.18,2.17,2.18,2.29
241,2041,,,2.19,2.2,2.21,2.34
242,2042,,,2.21,2.23,2.25,2.38
243,2043,,,2.22,2.26,2.28,2.42
244,2044,,,2.23,2.29,2.31,2.46
245,2045,,,2.24,2.31,2.35,2.5
246,2046,,,2.25,2.34,2.39,2.54
247,2047,,,2.26,2.37,2.43,2.58
248,2048,,,2.26,2.4,2.47,2.63
249,2049,,,2.27,2.43,2.51,2.67
250,2050,,,2.27,2.46,2.55,2.71
251,2051,,,2.28,2.49,2.59,2.76
252,2052,,,2.29,2.52,2.63,2.81
253,2053,,,2.3,2.54,2.67,2.86
254,2054,,,2.3,2.57,2.71,2.91
255,2055,,,2.31,2.6,2.75,2.96
256,2056,,,2.32,2.62,2.79,3.01
257,2057,,,2.33,2.65,2.82,3.07
258,2058,,,2.34,2.68,2.86,3.11
259,2059,,,2.34,2.7,2.89,3.16
260,2060,,,2.35,2.72,2.92,3.2
261,2061,,,2.35,2.75,2.96,3.25
262,2062,,,2.36,2.78,3.0,3.3
263,2063,,,2.36,2.8,3.03,3.34
264,2064,,,2.37,2.83,3.07,3.39
265,2065,,,2.37,2.85,3.11,3.44
266,2066,,,2.37,2.87,3.15,3.49
267,2067,,,2.37,2.9,3.18,3.53
268,2068,,,2.36,2.92,3.22,3.58
269,2069,,,2.36,2.95,3.26,3.64
270,2070,,,2.36,2.97,3.31,3.69
271,2071,,,2.36,2.99,3.35,3.74
272,2072,,,2.37,3.01,3.4,3.8
273,2073,,,2.36,3.02,3.43,3.85
274,2074,,,2.36,3.04,3.47,3.9
275,2075,,,2.36,3.05,3.5,3.96
276,2076,,,2.37,3.06,3.54,4.01
277,2077,,,2.37,3.08,3.58,4.07
278,2078,,,2.37,3.09,3.62,4.13
279,2079,,,2.37,3.1,3.66,4.2
280,2080,,,2.37,3.11,3.69,4.26
281,2081,,,2.37,3.12,3.73,4.32
282,2082,,,2.36,3.13,3.76,4.38
283,2083,,,2.36,3.15,3.81,4.44
284,2084,,,2.35,3.16,3.85,4.5
285,2085,,,2.35,3.17,3.89,4.56
286,2086,,,2.34,3.19,3.93,4.62
287,2087,,,2.33,3.21,3.97,4.68
288,2088,,,2.32,3.23,4.01,4.74
289,2089,,,2.3,3.24,4.05,4.79
290,2090,,,2.29,3.26,4.08,4.85
291,2091,,,2.28,3.28,4.12,4.91
292,2092,,,2.27,3.29,4.17,4.97
293,2093,,,2.26,3.31,4.22,5.03
294,2094,,,2.25,3.33,4.26,5.09
295,2095,,,2.24,3.35,4.31,5.15
296,2096,,,2.24,3.37,4.36,5.21
297,2097,,,2.23,3.39,4.41,5.27
298,2098,,,2.22,3.4,4.46,5.33
299,2099,,,2.21,3.42,4.5,5.38
300,2100,,,2.21,3.44,4.56,5.45
