Ethiopia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
191,1991,0.9612499999999999,0.87,,,,
192,1992,0.87125,0.9,,,,
193,1993,0.5812499999999999,0.93,,,,
194,1994,0.92125,0.96,,,,
195,1995,1.16125,0.99,,,,
196,1996,0.9512499999999999,1.03,,,,
197,1997,1.1412499999999999,1.08,,,,
198,1998,1.26125,1.13,,,,
199,1999,0.89125,1.18,,,,
200,2000,1.05125,1.22,,,,
201,2001,1.20125,1.26,,,,
202,2002,1.5612499999999998,1.3,,,,
203,2003,1.53125,1.33,,,,
204,2004,1.43125,1.37,,,,
205,2005,1.55125,1.4,1.32,1.33,1.32,1.29
206,2006,1.4212500000000001,1.43,1.35,1.36,1.36,1.33
207,2007,1.32125,1.45,1.39,1.4,1.39,1.36
208,2008,1.25125,1.48,1.42,1.43,1.42,1.4
209,2009,1.8112499999999998,1.5,1.45,1.46,1.46,1.44
210,2010,1.5212499999999998,1.51,1.48,1.49,1.49,1.47
211,2011,1.45125,1.53,1.52,1.52,1.52,1.51
212,2012,1.4812500000000002,1.55,1.55,1.55,1.56,1.55
213,2013,1.53125,1.57,1.58,1.58,1.59,1.59
214,2014,1.4412500000000001,1.59,1.62,1.62,1.62,1.62
215,2015,1.93125,1.61,1.65,1.64,1.65,1.66
216,2016,1.8512499999999998,1.63,1.68,1.67,1.68,1.69
217,2017,1.72125,1.65,1.7,1.69,1.7,1.72
218,2018,1.27125,1.67,1.73,1.72,1.72,1.75
219,2019,1.7112500000000002,1.69,1.76,1.74,1.74,1.78
220,2020,1.6912500000000001,1.71,1.79,1.77,1.76,1.81
221,2021,,,1.82,1.8,1.79,1.84
222,2022,,,1.85,1.83,1.82,1.87
223,2023,,,1.87,1.85,1.85,1.91
224,2024,,,1.9,1.88,1.87,1.94
225,2025,,,1.93,1.92,1.9,1.97
226,2026,,,1.95,1.95,1.93,2.0
227,2027,,,1.98,1.98,1.97,2.03
228,2028,,,2.01,2.01,2.0,2.07
229,2029,,,2.04,2.03,2.04,2.1
230,2030,,,2.07,2.06,2.07,2.13
231,2031,,,2.09,2.08,2.1,2.17
232,2032,,,2.12,2.1,2.13,2.2
233,2033,,,2.15,2.13,2.16,2.24
234,2034,,,2.17,2.15,2.19,2.27
235,2035,,,2.19,2.18,2.22,2.31
236,2036,,,2.22,2.2,2.25,2.35
237,2037,,,2.24,2.23,2.29,2.39
238,2038,,,2.25,2.25,2.32,2.43
239,2039,,,2.27,2.27,2.35,2.48
240,2040,,,2.28,2.3,2.38,2.52
241,2041,,,2.29,2.32,2.42,2.56
242,2042,,,2.3,2.35,2.45,2.6
243,2043,,,2.31,2.38,2.48,2.65
244,2044,,,2.32,2.41,2.52,2.69
245,2045,,,2.32,2.43,2.55,2.74
246,2046,,,2.33,2.46,2.59,2.78
247,2047,,,2.34,2.49,2.63,2.82
248,2048,,,2.35,2.52,2.67,2.87
249,2049,,,2.35,2.54,2.7,2.92
250,2050,,,2.36,2.57,2.74,2.97
251,2051,,,2.36,2.6,2.77,3.02
252,2052,,,2.37,2.62,2.81,3.07
253,2053,,,2.38,2.64,2.84,3.13
254,2054,,,2.38,2.67,2.88,3.18
255,2055,,,2.39,2.69,2.92,3.23
256,2056,,,2.4,2.72,2.95,3.28
257,2057,,,2.4,2.74,2.99,3.33
258,2058,,,2.41,2.76,3.02,3.38
259,2059,,,2.41,2.79,3.06,3.43
260,2060,,,2.42,2.81,3.1,3.47
261,2061,,,2.42,2.84,3.14,3.52
262,2062,,,2.42,2.86,3.18,3.56
263,2063,,,2.42,2.88,3.23,3.61
264,2064,,,2.42,2.91,3.27,3.66
265,2065,,,2.42,2.93,3.31,3.7
266,2066,,,2.42,2.95,3.34,3.75
267,2067,,,2.42,2.97,3.38,3.8
268,2068,,,2.42,2.99,3.42,3.85
269,2069,,,2.42,3.01,3.45,3.9
270,2070,,,2.41,3.03,3.49,3.95
271,2071,,,2.42,3.05,3.53,4.0
272,2072,,,2.42,3.07,3.57,4.05
273,2073,,,2.42,3.08,3.6,4.1
274,2074,,,2.42,3.1,3.64,4.16
275,2075,,,2.41,3.11,3.67,4.21
276,2076,,,2.41,3.12,3.71,4.26
277,2077,,,2.41,3.14,3.76,4.32
278,2078,,,2.42,3.16,3.8,4.37
279,2079,,,2.42,3.17,3.84,4.43
280,2080,,,2.42,3.19,3.88,4.49
281,2081,,,2.42,3.2,3.91,4.55
282,2082,,,2.41,3.21,3.95,4.6
283,2083,,,2.41,3.23,4.0,4.66
284,2084,,,2.4,3.24,4.04,4.72
285,2085,,,2.4,3.26,4.09,4.77
286,2086,,,2.39,3.28,4.13,4.83
287,2087,,,2.38,3.29,4.17,4.88
288,2088,,,2.37,3.31,4.21,4.94
289,2089,,,2.36,3.32,4.25,5.0
290,2090,,,2.35,3.33,4.29,5.05
291,2091,,,2.34,3.35,4.32,5.11
292,2092,,,2.33,3.36,4.37,5.16
293,2093,,,2.32,3.37,4.41,5.21
294,2094,,,2.31,3.38,4.45,5.27
295,2095,,,2.31,3.4,4.49,5.32
296,2096,,,2.3,3.41,4.54,5.37
297,2097,,,2.29,3.42,4.58,5.42
298,2098,,,2.29,3.43,4.62,5.47
299,2099,,,2.28,3.44,4.66,5.52
300,2100,,,2.28,3.45,4.71,5.58
