United Republic of Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
202,2002,1.3399999999999999,1.3,,,,
203,2003,1.65,1.33,,,,
204,2004,1.4,1.35,,,,
205,2005,2.1100000000000003,1.37,1.22,1.21,1.25,1.19
206,2006,1.45,1.39,1.25,1.25,1.28,1.23
207,2007,1.35,1.4,1.29,1.28,1.3,1.26
208,2008,1.13,1.42,1.32,1.31,1.33,1.3
209,2009,1.5,1.43,1.35,1.35,1.36,1.34
210,2010,1.64,1.44,1.38,1.38,1.39,1.37
211,2011,1.44,1.45,1.41,1.41,1.42,1.41
212,2012,1.47,1.46,1.45,1.45,1.45,1.45
213,2013,1.3599999999999999,1.47,1.48,1.48,1.48,1.48
214,2014,1.35,1.48,1.51,1.52,1.51,1.52
215,2015,1.61,1.49,1.55,1.55,1.54,1.56
216,2016,1.57,1.5,1.57,1.58,1.56,1.59
217,2017,1.6199999999999999,1.5,1.6,1.61,1.59,1.62
218,2018,1.29,1.51,1.63,1.64,1.61,1.65
219,2019,1.65,1.52,1.66,1.66,1.63,1.68
220,2020,1.45,1.53,1.69,1.69,1.66,1.71
221,2021,,,1.72,1.72,1.68,1.74
222,2022,,,1.75,1.75,1.71,1.77
223,2023,,,1.78,1.77,1.74,1.8
224,2024,,,1.81,1.8,1.76,1.83
225,2025,,,1.84,1.82,1.79,1.86
226,2026,,,1.87,1.84,1.82,1.89
227,2027,,,1.89,1.87,1.84,1.92
228,2028,,,1.92,1.9,1.87,1.95
229,2029,,,1.95,1.92,1.9,1.98
230,2030,,,1.97,1.95,1.93,2.01
231,2031,,,2.0,1.97,1.97,2.04
232,2032,,,2.02,2.0,2.0,2.08
233,2033,,,2.03,2.02,2.03,2.12
234,2034,,,2.05,2.05,2.05,2.15
235,2035,,,2.07,2.07,2.08,2.19
236,2036,,,2.08,2.09,2.12,2.23
237,2037,,,2.09,2.11,2.15,2.27
238,2038,,,2.11,2.14,2.19,2.32
239,2039,,,2.12,2.16,2.22,2.36
240,2040,,,2.13,2.18,2.26,2.41
241,2041,,,2.14,2.2,2.29,2.45
242,2042,,,2.15,2.23,2.32,2.49
243,2043,,,2.16,2.25,2.35,2.53
244,2044,,,2.17,2.28,2.38,2.57
245,2045,,,2.18,2.31,2.42,2.61
246,2046,,,2.19,2.33,2.45,2.65
247,2047,,,2.19,2.37,2.49,2.69
248,2048,,,2.2,2.39,2.52,2.73
249,2049,,,2.2,2.42,2.55,2.77
250,2050,,,2.2,2.44,2.59,2.82
251,2051,,,2.2,2.47,2.62,2.86
252,2052,,,2.21,2.49,2.66,2.91
253,2053,,,2.21,2.52,2.69,2.96
254,2054,,,2.21,2.54,2.74,3.01
255,2055,,,2.21,2.57,2.78,3.06
256,2056,,,2.22,2.59,2.82,3.11
257,2057,,,2.22,2.62,2.86,3.17
258,2058,,,2.23,2.64,2.89,3.21
259,2059,,,2.23,2.66,2.93,3.26
260,2060,,,2.24,2.68,2.97,3.31
261,2061,,,2.24,2.7,3.01,3.36
262,2062,,,2.24,2.72,3.05,3.41
263,2063,,,2.24,2.74,3.09,3.46
264,2064,,,2.24,2.75,3.13,3.51
265,2065,,,2.24,2.77,3.17,3.56
266,2066,,,2.23,2.79,3.21,3.61
267,2067,,,2.23,2.81,3.24,3.66
268,2068,,,2.23,2.83,3.28,3.71
269,2069,,,2.23,2.85,3.31,3.76
270,2070,,,2.22,2.87,3.35,3.81
271,2071,,,2.23,2.89,3.39,3.86
272,2072,,,2.23,2.9,3.43,3.91
273,2073,,,2.23,2.92,3.47,3.96
274,2074,,,2.23,2.94,3.51,4.01
275,2075,,,2.23,2.95,3.55,4.06
276,2076,,,2.23,2.96,3.59,4.11
277,2077,,,2.24,2.98,3.63,4.17
278,2078,,,2.24,3.0,3.67,4.22
279,2079,,,2.24,3.01,3.72,4.28
280,2080,,,2.24,3.02,3.76,4.33
281,2081,,,2.23,3.04,3.8,4.39
282,2082,,,2.23,3.06,3.84,4.44
283,2083,,,2.22,3.07,3.88,4.5
284,2084,,,2.21,3.09,3.92,4.55
285,2085,,,2.21,3.11,3.96,4.61
286,2086,,,2.2,3.13,4.0,4.66
287,2087,,,2.2,3.14,4.04,4.72
288,2088,,,2.19,3.15,4.08,4.77
289,2089,,,2.18,3.17,4.12,4.83
290,2090,,,2.17,3.18,4.16,4.89
291,2091,,,2.17,3.19,4.19,4.94
292,2092,,,2.16,3.19,4.23,5.0
293,2093,,,2.15,3.2,4.27,5.05
294,2094,,,2.15,3.2,4.3,5.11
295,2095,,,2.14,3.21,4.34,5.16
296,2096,,,2.14,3.22,4.38,5.22
297,2097,,,2.13,3.22,4.41,5.27
298,2098,,,2.13,3.23,4.45,5.32
299,2099,,,2.12,3.23,4.49,5.37
300,2100,,,2.12,3.23,4.53,5.43
