Georgia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.32483870967741935,0.48,,,,
1,1801,0.6751612903225807,0.35,,,,
2,1802,0.5951612903225807,0.23,,,,
3,1803,-0.10483870967741937,0.11,,,,
4,1804,-0.03483870967741931,-0.01,,,,
5,1805,-0.0048387096774193394,-0.13,,,,
6,1806,0.28516129032258064,-0.25,,,,
7,1807,0.21516129032258066,-0.37,,,,
8,1808,-0.7848387096774193,-0.48,,,,
9,1809,-1.3948387096774195,-0.6,,,,
10,1810,-1.184838709677419,-0.69,,,,
11,1811,-1.2548387096774194,-0.76,,,,
12,1812,-1.1148387096774193,-0.82,,,,
13,1813,-0.9448387096774192,-0.86,,,,
14,1814,-0.43483870967741933,-0.88,,,,
15,1815,-1.0648387096774194,-0.86,,,,
16,1816,-1.2748387096774194,-0.82,,,,
17,1817,-0.9948387096774193,-0.75,,,,
18,1818,-0.06483870967741934,-0.68,,,,
19,1819,-0.7448387096774193,-0.61,,,,
20,1820,-0.7348387096774193,-0.55,,,,
21,1821,-0.2948387096774193,-0.49,,,,
22,1822,-0.8048387096774193,-0.44,,,,
23,1823,-0.06483870967741934,-0.4,,,,
24,1824,0.7751612903225806,-0.36,,,,
25,1825,-0.45483870967741935,-0.35,,,,
26,1826,-0.3548387096774194,-0.34,,,,
27,1827,0.7751612903225806,-0.35,,,,
28,1828,-0.5948387096774194,-0.37,,,,
29,1829,-0.4848387096774194,-0.39,,,,
30,1830,0.06516129032258067,-0.43,,,,
31,1831,-0.6148387096774194,-0.47,,,,
32,1832,-1.874838709677419,-0.52,,,,
33,1833,-0.43483870967741933,-0.57,,,,
34,1834,-0.5648387096774193,-0.61,,,,
35,1835,-0.8748387096774194,-0.64,,,,
36,1836,-0.3848387096774193,-0.65,,,,
37,1837,-0.8148387096774193,-0.64,,,,
38,1838,-1.0548387096774192,-0.62,,,,
39,1839,-0.7348387096774193,-0.58,,,,
40,1840,-1.0948387096774193,-0.53,,,,
41,1841,-0.44483870967741934,-0.48,,,,
42,1842,-0.2948387096774193,-0.42,,,,
43,1843,0.06516129032258067,-0.35,,,,
44,1844,-0.44483870967741934,-0.27,,,,
45,1845,-0.2848387096774193,-0.19,,,,
46,1846,0.1551612903225807,-0.11,,,,
47,1847,-0.1548387096774193,-0.05,,,,
48,1848,0.20516129032258068,0.0,,,,
49,1849,0.25516129032258067,0.03,,,,
50,1850,-0.3548387096774194,0.05,,,,
51,1851,0.8451612903225807,0.05,,,,
52,1852,-0.0248387096774193,0.05,,,,
53,1853,0.5651612903225807,0.04,,,,
54,1854,-0.4148387096774193,0.01,,,,
55,1855,0.5551612903225807,-0.02,,,,
56,1856,-0.014838709677419348,-0.06,,,,
57,1857,-0.8048387096774193,-0.11,,,,
58,1858,-0.3848387096774193,-0.14,,,,
59,1859,0.3551612903225807,-0.17,,,,
60,1860,0.20516129032258068,-0.18,,,,
61,1861,-0.9548387096774192,-0.19,,,,
62,1862,-1.1248387096774195,-0.19,,,,
63,1863,-0.3548387096774194,-0.18,,,,
64,1864,-0.08483870967741935,-0.16,,,,
65,1865,0.0951612903225807,-0.13,,,,
66,1866,0.0051612903225806694,-0.09,,,,
67,1867,-0.06483870967741934,-0.06,,,,
68,1868,-0.1548387096774193,-0.02,,,,
69,1869,0.37516129032258067,0.02,,,,
70,1870,-0.05483870967741933,0.07,,,,
71,1871,-0.22483870967741937,0.11,,,,
72,1872,0.7151612903225807,0.15,,,,
73,1873,0.4051612903225807,0.18,,,,
74,1874,-0.16483870967741932,0.18,,,,
75,1875,-0.46483870967741936,0.18,,,,
76,1876,0.4651612903225807,0.15,,,,
77,1877,0.6351612903225807,0.12,,,,
78,1878,0.6551612903225806,0.09,,,,
79,1879,0.9651612903225807,0.07,,,,
