Gabon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
154,1954,0.10500000000000004,0.43,,,,
155,1955,0.21500000000000002,0.41,,,,
156,1956,0.14500000000000002,0.4,,,,
157,1957,0.495,0.4,,,,
158,1958,0.405,0.4,,,,
159,1959,0.495,0.41,,,,
160,1960,0.615,0.42,,,,
161,1961,0.275,0.44,,,,
162,1962,0.445,0.46,,,,
163,1963,0.6950000000000001,0.48,,,,
164,1964,0.325,0.5,,,,
165,1965,0.375,0.52,,,,
166,1966,0.7050000000000001,0.53,,,,
167,1967,0.455,0.54,,,,
168,1968,0.455,0.55,,,,
169,1969,0.745,0.56,,,,
170,1970,0.7150000000000001,0.57,,,,
171,1971,0.445,0.59,,,,
172,1972,0.595,0.6,,,,
173,1973,1.005,0.62,,,,
174,1974,0.465,0.64,,,,
175,1975,0.48500000000000004,0.65,,,,
176,1976,0.275,0.66,,,,
177,1977,0.855,0.67,,,,
178,1978,0.675,0.67,,,,
179,1979,1.0150000000000001,0.69,,,,
180,1980,0.9550000000000001,0.7,,,,
181,1981,0.48500000000000004,0.72,,,,
182,1982,0.365,0.75,,,,
183,1983,0.875,0.77,,,,
184,1984,0.895,0.78,,,,
185,1985,0.545,0.79,,,,
186,1986,0.655,0.8,,,,
187,1987,1.195,0.81,,,,
188,1988,0.995,0.82,,,,
189,1989,0.805,0.84,,,,
190,1990,0.895,0.86,,,,
191,1991,0.915,0.88,,,,
192,1992,0.595,0.9,,,,
193,1993,0.825,0.92,,,,
194,1994,0.885,0.94,,,,
195,1995,1.2149999999999999,0.96,,,,
196,1996,0.775,0.99,,,,
197,1997,1.0150000000000001,1.03,,,,
198,1998,1.775,1.07,,,,
199,1999,1.0750000000000002,1.12,,,,
200,2000,0.9650000000000001,1.17,,,,
201,2001,0.9850000000000001,1.21,,,,
202,2002,1.295,1.25,,,,
203,2003,1.4649999999999999,1.28,,,,
204,2004,1.395,1.31,,,,
205,2005,1.475,1.33,1.23,1.22,1.24,1.21
206,2006,1.525,1.34,1.25,1.25,1.26,1.24
207,2007,1.4649999999999999,1.35,1.28,1.28,1.29,1.27
208,2008,1.335,1.35,1.31,1.31,1.32,1.3
209,2009,1.455,1.36,1.34,1.34,1.35,1.33
210,2010,1.585,1.36,1.37,1.37,1.37,1.36
211,2011,1.0350000000000001,1.37,1.39,1.4,1.4,1.39
212,2012,0.995,1.39,1.42,1.43,1.43,1.42
213,2013,1.135,1.42,1.45,1.45,1.46,1.45
214,2014,1.255,1.44,1.48,1.48,1.48,1.48
215,2015,1.355,1.47,1.51,1.51,1.51,1.51
216,2016,1.755,1.5,1.54,1.54,1.53,1.54
217,2017,1.545,1.53,1.56,1.56,1.55,1.57
218,2018,1.2349999999999999,1.56,1.59,1.59,1.58,1.6
219,2019,1.915,1.59,1.62,1.62,1.6,1.62
220,2020,1.835,1.63,1.64,1.64,1.62,1.65
221,2021,,,1.67,1.67,1.65,1.68
222,2022,,,1.7,1.69,1.68,1.72
223,2023,,,1.72,1.72,1.7,1.75
224,2024,,,1.75,1.74,1.73,1.78
225,2025,,,1.77,1.77,1.75,1.81
226,2026,,,1.79,1.79,1.78,1.84
227,2027,,,1.82,1.81,1.8,1.87
228,2028,,,1.84,1.84,1.83,1.9
229,2029,,,1.86,1.86,1.86,1.93
230,2030,,,1.88,1.88,1.89,1.96
231,2031,,,1.9,1.9,1.92,1.99
232,2032,,,1.92,1.92,1.94,2.03
233,2033,,,1.94,1.95,1.97,2.06
234,2034,,,1.95,1.97,2.0,2.09
235,2035,,,1.97,1.99,2.03,2.12
236,2036,,,1.98,2.01,2.06,2.16
237,2037,,,2.0,2.04,2.09,2.19
238,2038,,,2.01,2.06,2.12,2.23
239,2039,,,2.02,2.08,2.15,2.27
240,2040,,,2.03,2.1,2.18,2.31
241,2041,,,2.04,2.12,2.21,2.35
242,2042,,,2.05,2.15,2.25,2.39
243,2043,,,2.07,2.17,2.28,2.43
244,2044,,,2.08,2.19,2.31,2.47
245,2045,,,2.09,2.22,2.34,2.51
246,2046,,,2.1,2.24,2.38,2.55
247,2047,,,2.11,2.27,2.42,2.59
248,2048,,,2.12,2.29,2.45,2.63
249,2049,,,2.12,2.31,2.49,2.67
250,2050,,,2.13,2.34,2.53,2.71
251,2051,,,2.14,2.37,2.56,2.74
252,2052,,,2.15,2.39,2.6,2.79
253,2053,,,2.16,2.41,2.63,2.83
254,2054,,,2.17,2.44,2.67,2.87
255,2055,,,2.17,2.46,2.7,2.91
256,2056,,,2.18,2.48,2.74,2.96
257,2057,,,2.18,2.51,2.78,3.01
258,2058,,,2.19,2.53,2.81,3.05
259,2059,,,2.19,2.55,2.85,3.09
260,2060,,,2.2,2.56,2.88,3.13
261,2061,,,2.2,2.58,2.92,3.18
262,2062,,,2.2,2.6,2.96,3.23
263,2063,,,2.21,2.62,3.0,3.28
264,2064,,,2.21,2.64,3.04,3.32
265,2065,,,2.21,2.66,3.08,3.37
266,2066,,,2.21,2.67,3.12,3.41
267,2067,,,2.2,2.69,3.15,3.46
268,2068,,,2.2,2.71,3.19,3.5
269,2069,,,2.2,2.73,3.22,3.55
270,2070,,,2.2,2.74,3.26,3.6
271,2071,,,2.2,2.76,3.3,3.65
272,2072,,,2.19,2.78,3.34,3.69
273,2073,,,2.19,2.79,3.38,3.74
274,2074,,,2.19,2.81,3.42,3.79
275,2075,,,2.19,2.82,3.45,3.83
276,2076,,,2.19,2.83,3.5,3.88
277,2077,,,2.19,2.85,3.54,3.93
278,2078,,,2.19,2.87,3.58,3.98
279,2079,,,2.19,2.88,3.62,4.03
280,2080,,,2.19,2.89,3.66,4.08
281,2081,,,2.19,2.9,3.69,4.13
282,2082,,,2.18,2.91,3.73,4.18
283,2083,,,2.18,2.93,3.77,4.24
284,2084,,,2.17,2.94,3.81,4.29
285,2085,,,2.17,2.95,3.85,4.33
286,2086,,,2.17,2.96,3.89,4.38
287,2087,,,2.16,2.98,3.92,4.43
288,2088,,,2.15,2.99,3.96,4.48
289,2089,,,2.14,3.0,4.0,4.53
290,2090,,,2.14,3.01,4.04,4.58
291,2091,,,2.13,3.02,4.07,4.63
292,2092,,,2.12,3.03,4.11,4.68
293,2093,,,2.12,3.04,4.16,4.73
294,2094,,,2.12,3.05,4.2,4.77
295,2095,,,2.12,3.06,4.24,4.82
296,2096,,,2.11,3.07,4.28,4.87
297,2097,,,2.11,3.08,4.32,4.92
298,2098,,,2.11,3.09,4.37,4.96
299,2099,,,2.1,3.09,4.41,5.01
300,2100,,,2.1,3.1,4.45,5.06
