Samoa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
150,1950,0.43285714285714283,0.6,,,,
151,1951,0.4728571428571428,0.59,,,,
152,1952,0.7528571428571429,0.57,,,,
153,1953,0.6628571428571428,0.56,,,,
154,1954,0.5928571428571429,0.56,,,,
155,1955,0.43285714285714283,0.57,,,,
156,1956,0.31285714285714283,0.58,,,,
157,1957,0.5028571428571428,0.58,,,,
158,1958,0.6728571428571428,0.58,,,,
159,1959,0.7228571428571429,0.58,,,,
160,1960,0.7128571428571429,0.57,,,,
161,1961,0.6128571428571428,0.55,,,,
162,1962,0.5028571428571428,0.52,,,,
163,1963,0.7128571428571429,0.49,,,,
164,1964,0.4928571428571428,0.47,,,,
165,1965,0.19285714285714284,0.45,,,,
166,1966,0.20285714285714285,0.43,,,,
167,1967,0.13285714285714284,0.43,,,,
168,1968,0.31285714285714283,0.43,,,,
169,1969,0.7428571428571429,0.44,,,,
170,1970,0.6128571428571428,0.46,,,,
171,1971,0.2228571428571428,0.49,,,,
172,1972,0.5728571428571428,0.52,,,,
173,1973,0.9328571428571428,0.55,,,,
174,1974,0.5028571428571428,0.58,,,,
175,1975,0.6128571428571428,0.6,,,,
176,1976,0.4828571428571428,0.63,,,,
177,1977,0.6428571428571428,0.65,,,,
178,1978,0.6028571428571429,0.68,,,,
179,1979,0.7928571428571428,0.7,,,,
180,1980,0.8828571428571428,0.72,,,,
181,1981,0.6728571428571428,0.74,,,,
182,1982,0.8328571428571429,0.77,,,,
183,1983,0.8228571428571428,0.79,,,,
184,1984,0.6828571428571428,0.81,,,,
185,1985,0.8028571428571428,0.83,,,,
186,1986,0.8528571428571428,0.86,,,,
187,1987,0.8428571428571427,0.88,,,,
188,1988,0.9928571428571429,0.91,,,,
189,1989,0.6228571428571428,0.93,,,,
190,1990,1.092857142857143,0.96,,,,
191,1991,1.1728571428571428,0.98,,,,
192,1992,1.072857142857143,1.0,,,,
193,1993,0.8328571428571429,1.02,,,,
194,1994,0.9928571428571429,1.04,,,,
195,1995,1.2528571428571427,1.05,,,,
196,1996,0.9928571428571429,1.07,,,,
197,1997,0.9228571428571428,1.09,,,,
198,1998,1.302857142857143,1.11,,,,
199,1999,1.002857142857143,1.14,,,,
200,2000,1.0828571428571427,1.16,,,,
201,2001,1.2428571428571429,1.18,,,,
202,2002,1.4528571428571428,1.2,,,,
203,2003,1.1928571428571428,1.21,,,,
204,2004,1.2128571428571429,1.22,,,,
205,2005,1.282857142857143,1.22,1.19,1.2,1.19,1.17
206,2006,1.1628571428571428,1.22,1.21,1.22,1.21,1.2
207,2007,1.4928571428571429,1.22,1.23,1.24,1.23,1.22
208,2008,1.002857142857143,1.22,1.26,1.26,1.26,1.25
209,2009,1.0628571428571427,1.22,1.28,1.28,1.28,1.27
210,2010,1.512857142857143,1.23,1.3,1.3,1.3,1.29
211,2011,1.032857142857143,1.24,1.32,1.32,1.32,1.32
212,2012,1.1028571428571428,1.27,1.34,1.34,1.35,1.34
213,2013,1.4228571428571428,1.31,1.37,1.36,1.37,1.36
214,2014,1.282857142857143,1.36,1.39,1.38,1.39,1.39
215,2015,1.262857142857143,1.4,1.41,1.4,1.41,1.41
216,2016,1.9528571428571428,1.44,1.43,1.42,1.43,1.43
217,2017,1.612857142857143,1.49,1.44,1.43,1.44,1.45
218,2018,1.4428571428571428,1.54,1.46,1.45,1.46,1.47
219,2019,1.6628571428571428,1.58,1.47,1.47,1.47,1.49
220,2020,1.6028571428571428,1.63,1.49,1.49,1.49,1.52
221,2021,,,1.51,1.51,1.51,1.55
222,2022,,,1.53,1.54,1.53,1.57
223,2023,,,1.55,1.56,1.55,1.6
224,2024,,,1.56,1.58,1.57,1.62
225,2025,,,1.58,1.6,1.59,1.64
226,2026,,,1.59,1.62,1.61,1.66
227,2027,,,1.61,1.64,1.63,1.69
228,2028,,,1.63,1.65,1.65,1.71
229,2029,,,1.64,1.67,1.68,1.73
230,2030,,,1.66,1.69,1.7,1.75
231,2031,,,1.68,1.71,1.72,1.77
232,2032,,,1.7,1.72,1.74,1.8
233,2033,,,1.72,1.74,1.77,1.82
234,2034,,,1.73,1.76,1.79,1.84
235,2035,,,1.75,1.78,1.81,1.87
236,2036,,,1.76,1.8,1.84,1.9
237,2037,,,1.77,1.82,1.86,1.93
238,2038,,,1.78,1.84,1.89,1.96
239,2039,,,1.79,1.86,1.91,1.99
240,2040,,,1.8,1.87,1.94,2.02
241,2041,,,1.81,1.89,1.97,2.04
242,2042,,,1.82,1.91,1.99,2.07
243,2043,,,1.82,1.93,2.01,2.1
244,2044,,,1.83,1.94,2.04,2.13
245,2045,,,1.84,1.96,2.06,2.16
246,2046,,,1.84,1.98,2.09,2.19
247,2047,,,1.85,1.99,2.11,2.22
248,2048,,,1.85,2.01,2.13,2.25
249,2049,,,1.86,2.03,2.15,2.28
250,2050,,,1.86,2.05,2.18,2.31
251,2051,,,1.86,2.07,2.2,2.34
252,2052,,,1.86,2.09,2.23,2.38
253,2053,,,1.87,2.1,2.25,2.42
254,2054,,,1.87,2.12,2.28,2.45
255,2055,,,1.87,2.14,2.3,2.49
256,2056,,,1.88,2.16,2.33,2.52
257,2057,,,1.88,2.17,2.35,2.56
258,2058,,,1.88,2.19,2.37,2.59
259,2059,,,1.88,2.2,2.4,2.63
260,2060,,,1.89,2.21,2.42,2.66
261,2061,,,1.89,2.22,2.45,2.69
262,2062,,,1.89,2.24,2.47,2.73
263,2063,,,1.89,2.25,2.5,2.76
264,2064,,,1.9,2.26,2.52,2.79
265,2065,,,1.9,2.27,2.55,2.82
266,2066,,,1.9,2.28,2.58,2.86
267,2067,,,1.9,2.29,2.6,2.89
268,2068,,,1.91,2.31,2.63,2.92
269,2069,,,1.91,2.32,2.66,2.95
270,2070,,,1.91,2.34,2.68,2.98
271,2071,,,1.91,2.35,2.71,3.01
272,2072,,,1.91,2.37,2.74,3.04
273,2073,,,1.9,2.38,2.76,3.08
274,2074,,,1.9,2.39,2.79,3.11
275,2075,,,1.9,2.4,2.81,3.15
276,2076,,,1.9,2.41,2.84,3.18
277,2077,,,1.89,2.42,2.87,3.22
278,2078,,,1.89,2.42,2.9,3.26
279,2079,,,1.88,2.43,2.93,3.3
280,2080,,,1.88,2.44,2.95,3.34
281,2081,,,1.88,2.45,2.98,3.38
282,2082,,,1.88,2.45,3.01,3.42
283,2083,,,1.88,2.46,3.04,3.46
284,2084,,,1.87,2.47,3.07,3.5
285,2085,,,1.87,2.48,3.1,3.53
286,2086,,,1.87,2.49,3.12,3.57
287,2087,,,1.87,2.51,3.15,3.61
288,2088,,,1.86,2.52,3.18,3.64
289,2089,,,1.86,2.53,3.21,3.68
290,2090,,,1.85,2.54,3.24,3.72
291,2091,,,1.85,2.55,3.27,3.75
292,2092,,,1.84,2.55,3.3,3.79
293,2093,,,1.83,2.56,3.33,3.82
294,2094,,,1.83,2.56,3.35,3.85
295,2095,,,1.82,2.57,3.38,3.89
296,2096,,,1.81,2.57,3.41,3.92
297,2097,,,1.81,2.58,3.44,3.95
298,2098,,,1.8,2.58,3.46,3.98
299,2099,,,1.8,2.58,3.49,4.01
300,2100,,,1.79,2.59,3.52,4.05
