Vanuatu,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
148,1948,0.6511111111111111,0.5,,,,
149,1949,0.5011111111111111,0.5,,,,
150,1950,0.5711111111111111,0.5,,,,
151,1951,0.3511111111111111,0.5,,,,
152,1952,0.5811111111111111,0.5,,,,
153,1953,0.5111111111111111,0.49,,,,
154,1954,0.4211111111111111,0.49,,,,
155,1955,0.3511111111111111,0.49,,,,
156,1956,0.5511111111111111,0.49,,,,
157,1957,0.2311111111111111,0.5,,,,
158,1958,0.6511111111111111,0.5,,,,
159,1959,0.5911111111111111,0.5,,,,
160,1960,0.4111111111111111,0.5,,,,
161,1961,0.731111111111111,0.49,,,,
162,1962,0.5311111111111111,0.48,,,,
163,1963,0.4011111111111111,0.48,,,,
164,1964,0.8211111111111111,0.47,,,,
165,1965,-0.0788888888888889,0.47,,,,
166,1966,0.12111111111111111,0.47,,,,
167,1967,0.5411111111111111,0.47,,,,
168,1968,0.2311111111111111,0.48,,,,
169,1969,0.5311111111111111,0.5,,,,
170,1970,0.711111111111111,0.53,,,,
171,1971,0.5011111111111111,0.56,,,,
172,1972,0.2311111111111111,0.59,,,,
173,1973,1.0911111111111111,0.62,,,,
174,1974,0.731111111111111,0.64,,,,
175,1975,0.8311111111111111,0.65,,,,
176,1976,0.731111111111111,0.67,,,,
177,1977,0.5611111111111111,0.68,,,,
178,1978,0.6711111111111111,0.7,,,,
179,1979,0.6411111111111111,0.71,,,,
180,1980,0.6611111111111111,0.71,,,,
181,1981,0.7511111111111111,0.72,,,,
182,1982,0.5311111111111111,0.73,,,,
183,1983,0.8211111111111111,0.75,,,,
184,1984,0.8511111111111112,0.77,,,,
185,1985,1.021111111111111,0.78,,,,
186,1986,0.5911111111111111,0.79,,,,
187,1987,0.611111111111111,0.79,,,,
188,1988,1.301111111111111,0.8,,,,
189,1989,0.8511111111111112,0.8,,,,
190,1990,1.041111111111111,0.82,,,,
191,1991,0.6711111111111111,0.85,,,,
192,1992,0.6611111111111111,0.88,,,,
193,1993,0.38111111111111107,0.92,,,,
194,1994,0.4611111111111111,0.96,,,,
195,1995,1.2111111111111112,1.0,,,,
196,1996,1.2111111111111112,1.03,,,,
197,1997,0.941111111111111,1.06,,,,
198,1998,1.471111111111111,1.09,,,,
199,1999,1.411111111111111,1.12,,,,
200,2000,1.221111111111111,1.13,,,,
201,2001,1.3111111111111111,1.14,,,,
202,2002,1.0711111111111111,1.15,,,,
203,2003,0.8711111111111112,1.16,,,,
204,2004,0.8611111111111112,1.17,,,,
205,2005,1.0811111111111111,1.17,1.21,1.21,1.22,1.21
206,2006,0.941111111111111,1.18,1.23,1.23,1.24,1.23
207,2007,1.531111111111111,1.19,1.24,1.24,1.25,1.24
208,2008,1.471111111111111,1.21,1.26,1.26,1.27,1.26
209,2009,1.0711111111111111,1.23,1.28,1.27,1.28,1.27
210,2010,1.6111111111111112,1.27,1.29,1.29,1.29,1.29
211,2011,1.351111111111111,1.3,1.31,1.3,1.31,1.31
212,2012,1.141111111111111,1.33,1.32,1.32,1.32,1.32
213,2013,1.3111111111111111,1.35,1.34,1.34,1.34,1.34
214,2014,1.1911111111111112,1.38,1.36,1.35,1.35,1.36
215,2015,1.2111111111111112,1.4,1.38,1.38,1.37,1.38
216,2016,1.671111111111111,1.43,1.4,1.4,1.39,1.4
217,2017,1.6411111111111112,1.45,1.42,1.42,1.41,1.42
218,2018,1.231111111111111,1.48,1.44,1.45,1.44,1.44
219,2019,1.4411111111111112,1.51,1.46,1.47,1.45,1.46
220,2020,1.731111111111111,1.54,1.48,1.49,1.47,1.48
221,2021,,,1.49,1.51,1.49,1.51
222,2022,,,1.51,1.53,1.5,1.53
223,2023,,,1.53,1.54,1.52,1.56
224,2024,,,1.55,1.56,1.54,1.59
225,2025,,,1.57,1.57,1.56,1.61
226,2026,,,1.59,1.58,1.58,1.64
227,2027,,,1.61,1.6,1.6,1.67
228,2028,,,1.62,1.62,1.62,1.7
229,2029,,,1.64,1.63,1.65,1.72
230,2030,,,1.65,1.65,1.67,1.75
231,2031,,,1.67,1.66,1.69,1.77
232,2032,,,1.68,1.68,1.71,1.8
233,2033,,,1.69,1.7,1.73,1.82
234,2034,,,1.7,1.71,1.76,1.85
235,2035,,,1.71,1.74,1.78,1.87
236,2036,,,1.72,1.76,1.8,1.9
237,2037,,,1.73,1.78,1.83,1.93
238,2038,,,1.74,1.8,1.85,1.95
239,2039,,,1.74,1.82,1.87,1.98
240,2040,,,1.75,1.83,1.9,2.01
241,2041,,,1.76,1.85,1.92,2.04
242,2042,,,1.77,1.87,1.95,2.07
243,2043,,,1.78,1.89,1.98,2.1
244,2044,,,1.79,1.91,2.0,2.14
245,2045,,,1.8,1.93,2.03,2.17
246,2046,,,1.81,1.94,2.06,2.2
247,2047,,,1.82,1.96,2.09,2.23
248,2048,,,1.83,1.98,2.11,2.27
249,2049,,,1.83,1.99,2.14,2.3
250,2050,,,1.84,2.01,2.17,2.33
251,2051,,,1.84,2.03,2.2,2.37
252,2052,,,1.84,2.04,2.23,2.4
253,2053,,,1.84,2.06,2.25,2.43
254,2054,,,1.84,2.08,2.28,2.47
255,2055,,,1.85,2.1,2.31,2.5
256,2056,,,1.85,2.11,2.34,2.53
257,2057,,,1.85,2.13,2.37,2.56
258,2058,,,1.85,2.15,2.4,2.59
259,2059,,,1.85,2.16,2.43,2.62
260,2060,,,1.85,2.18,2.45,2.65
261,2061,,,1.85,2.19,2.48,2.69
262,2062,,,1.86,2.21,2.5,2.72
263,2063,,,1.86,2.22,2.53,2.75
264,2064,,,1.86,2.23,2.55,2.79
265,2065,,,1.86,2.25,2.57,2.82
266,2066,,,1.86,2.26,2.6,2.86
267,2067,,,1.86,2.27,2.62,2.89
268,2068,,,1.86,2.29,2.64,2.93
269,2069,,,1.86,2.3,2.66,2.97
270,2070,,,1.86,2.31,2.68,3.01
271,2071,,,1.86,2.32,2.7,3.05
272,2072,,,1.86,2.34,2.73,3.08
273,2073,,,1.85,2.35,2.76,3.12
274,2074,,,1.85,2.37,2.78,3.16
275,2075,,,1.84,2.38,2.81,3.2
276,2076,,,1.84,2.39,2.84,3.24
277,2077,,,1.83,2.4,2.87,3.28
278,2078,,,1.83,2.41,2.9,3.32
279,2079,,,1.82,2.42,2.93,3.37
280,2080,,,1.82,2.44,2.96,3.41
281,2081,,,1.81,2.45,2.99,3.45
282,2082,,,1.81,2.46,3.02,3.49
283,2083,,,1.81,2.46,3.05,3.53
284,2084,,,1.81,2.47,3.08,3.57
285,2085,,,1.82,2.47,3.11,3.61
286,2086,,,1.82,2.48,3.14,3.65
287,2087,,,1.82,2.48,3.17,3.68
288,2088,,,1.82,2.49,3.21,3.72
289,2089,,,1.82,2.5,3.24,3.76
290,2090,,,1.82,2.51,3.27,3.8
291,2091,,,1.82,2.52,3.3,3.83
292,2092,,,1.82,2.53,3.33,3.87
293,2093,,,1.82,2.54,3.36,3.91
294,2094,,,1.81,2.55,3.39,3.95
295,2095,,,1.81,2.56,3.42,4.0
296,2096,,,1.81,2.57,3.45,4.03
297,2097,,,1.8,2.57,3.48,4.07
298,2098,,,1.8,2.58,3.5,4.11
299,2099,,,1.79,2.59,3.53,4.15
300,2100,,,1.79,2.6,3.56,4.19
