Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
150,1950,0.2116666666666666,0.31,,,,
151,1951,0.2316666666666666,0.31,,,,
152,1952,0.5016666666666666,0.3,,,,
153,1953,-0.11833333333333346,0.28,,,,
154,1954,-0.07833333333333342,0.26,,,,
155,1955,0.9416666666666667,0.24,,,,
156,1956,0.7616666666666666,0.23,,,,
157,1957,0.8516666666666666,0.21,,,,
158,1958,-0.19833333333333342,0.2,,,,
159,1959,0.0716666666666666,0.19,,,,
160,1960,-0.5083333333333333,0.19,,,,
161,1961,0.7916666666666665,0.19,,,,
162,1962,-0.38833333333333336,0.19,,,,
163,1963,0.1816666666666666,0.2,,,,
164,1964,-0.15833333333333338,0.23,,,,
165,1965,0.2516666666666666,0.28,,,,
166,1966,0.4816666666666666,0.35,,,,
167,1967,0.7316666666666666,0.42,,,,
168,1968,0.3816666666666666,0.49,,,,
169,1969,0.08166666666666661,0.55,,,,
170,1970,0.7916666666666665,0.59,,,,
171,1971,0.9416666666666667,0.61,,,,
172,1972,0.9916666666666667,0.63,,,,
173,1973,0.7516666666666666,0.63,,,,
174,1974,0.8516666666666666,0.64,,,,
175,1975,0.5316666666666666,0.64,,,,
176,1976,0.1316666666666666,0.64,,,,
177,1977,0.6216666666666666,0.64,,,,
178,1978,0.4916666666666666,0.64,,,,
179,1979,0.2316666666666666,0.64,,,,
180,1980,1.4616666666666667,0.65,,,,
181,1981,1.1716666666666666,0.67,,,,
182,1982,0.0716666666666666,0.7,,,,
183,1983,0.6816666666666666,0.75,,,,
184,1984,1.1916666666666667,0.79,,,,
185,1985,0.4316666666666666,0.83,,,,
186,1986,0.7816666666666666,0.85,,,,
187,1987,0.8716666666666666,0.86,,,,
188,1988,1.3816666666666666,0.85,,,,
189,1989,0.8916666666666666,0.85,,,,
190,1990,0.9216666666666666,0.84,,,,
191,1991,1.8616666666666666,0.83,,,,
192,1992,0.9616666666666667,0.82,,,,
193,1993,0.3216666666666666,0.81,,,,
194,1994,0.3216666666666666,0.79,,,,
195,1995,0.8716666666666666,0.78,,,,
196,1996,1.7316666666666667,0.78,,,,
197,1997,0.6116666666666666,0.8,,,,
198,1998,0.7516666666666666,0.82,,,,
199,1999,0.3916666666666666,0.86,,,,
200,2000,1.1316666666666666,0.9,,,,
201,2001,0.9016666666666666,0.94,,,,
202,2002,1.5016666666666667,0.99,,,,
203,2003,1.0216666666666665,1.04,,,,
204,2004,0.7516666666666666,1.09,,,,
205,2005,1.2016666666666667,1.13,1.04,1.01,1.02,1.01
206,2006,0.8816666666666666,1.16,1.07,1.04,1.05,1.05
207,2007,1.8516666666666666,1.18,1.1,1.07,1.08,1.08
208,2008,1.2316666666666667,1.19,1.13,1.1,1.12,1.11
209,2009,1.7516666666666667,1.19,1.15,1.13,1.15,1.14
210,2010,0.9516666666666667,1.2,1.18,1.17,1.18,1.17
211,2011,1.5616666666666668,1.2,1.21,1.2,1.21,1.21
212,2012,0.8516666666666666,1.21,1.24,1.23,1.24,1.24
213,2013,1.3016666666666665,1.24,1.27,1.27,1.27,1.27
214,2014,1.0216666666666665,1.26,1.3,1.3,1.31,1.31
215,2015,0.2116666666666666,1.29,1.33,1.35,1.34,1.34
216,2016,1.0316666666666665,1.32,1.36,1.38,1.37,1.37
217,2017,1.0616666666666665,1.34,1.39,1.41,1.4,1.41
218,2018,1.5616666666666668,1.37,1.42,1.45,1.43,1.44
219,2019,1.6416666666666666,1.4,1.45,1.49,1.46,1.47
220,2020,1.6216666666666666,1.44,1.48,1.52,1.5,1.5
221,2021,,,1.51,1.56,1.53,1.53
222,2022,,,1.54,1.59,1.57,1.56
223,2023,,,1.57,1.62,1.6,1.59
224,2024,,,1.6,1.65,1.63,1.63
225,2025,,,1.64,1.67,1.67,1.66
226,2026,,,1.67,1.7,1.7,1.7
227,2027,,,1.7,1.72,1.74,1.73
228,2028,,,1.73,1.75,1.77,1.77
229,2029,,,1.76,1.77,1.81,1.8
230,2030,,,1.78,1.8,1.84,1.83
231,2031,,,1.8,1.82,1.87,1.87
232,2032,,,1.82,1.84,1.91,1.91
233,2033,,,1.84,1.86,1.94,1.95
234,2034,,,1.86,1.88,1.98,1.99
235,2035,,,1.87,1.9,2.02,2.03
236,2036,,,1.89,1.93,2.05,2.07
237,2037,,,1.9,1.95,2.09,2.11
238,2038,,,1.91,1.98,2.12,2.15
239,2039,,,1.93,2.0,2.16,2.2
240,2040,,,1.95,2.03,2.2,2.25
241,2041,,,1.96,2.05,2.23,2.3
242,2042,,,1.98,2.08,2.27,2.36
243,2043,,,2.0,2.11,2.3,2.41
244,2044,,,2.01,2.14,2.33,2.47
245,2045,,,2.02,2.17,2.35,2.52
246,2046,,,2.03,2.2,2.38,2.58
247,2047,,,2.04,2.24,2.41,2.63
248,2048,,,2.05,2.26,2.44,2.68
249,2049,,,2.06,2.29,2.47,2.74
250,2050,,,2.07,2.32,2.5,2.8
251,2051,,,2.08,2.35,2.54,2.86
252,2052,,,2.08,2.38,2.59,2.92
253,2053,,,2.09,2.41,2.63,2.99
254,2054,,,2.09,2.44,2.69,3.04
255,2055,,,2.09,2.47,2.74,3.1
256,2056,,,2.1,2.5,2.79,3.16
257,2057,,,2.1,2.52,2.85,3.22
258,2058,,,2.11,2.55,2.9,3.27
259,2059,,,2.12,2.58,2.96,3.32
260,2060,,,2.13,2.6,3.01,3.36
261,2061,,,2.14,2.62,3.06,3.41
262,2062,,,2.15,2.64,3.11,3.46
263,2063,,,2.16,2.67,3.16,3.51
264,2064,,,2.17,2.69,3.21,3.57
265,2065,,,2.18,2.72,3.26,3.62
266,2066,,,2.19,2.74,3.31,3.68
267,2067,,,2.2,2.76,3.35,3.74
268,2068,,,2.2,2.79,3.39,3.8
269,2069,,,2.21,2.81,3.43,3.86
270,2070,,,2.21,2.83,3.48,3.93
271,2071,,,2.21,2.86,3.52,4.0
272,2072,,,2.21,2.88,3.56,4.06
273,2073,,,2.21,2.91,3.59,4.13
274,2074,,,2.21,2.93,3.63,4.19
275,2075,,,2.22,2.96,3.67,4.26
276,2076,,,2.22,2.97,3.71,4.32
277,2077,,,2.22,2.99,3.75,4.39
278,2078,,,2.21,3.01,3.79,4.45
279,2079,,,2.21,3.03,3.83,4.53
280,2080,,,2.21,3.05,3.88,4.59
281,2081,,,2.21,3.07,3.93,4.66
282,2082,,,2.2,3.09,3.98,4.72
283,2083,,,2.2,3.11,4.03,4.79
284,2084,,,2.19,3.13,4.09,4.85
285,2085,,,2.18,3.15,4.14,4.92
286,2086,,,2.17,3.16,4.2,4.99
287,2087,,,2.17,3.18,4.25,5.06
288,2088,,,2.17,3.19,4.31,5.12
289,2089,,,2.17,3.21,4.36,5.19
290,2090,,,2.17,3.23,4.41,5.26
291,2091,,,2.17,3.25,4.46,5.33
292,2092,,,2.18,3.25,4.5,5.41
293,2093,,,2.18,3.26,4.54,5.47
294,2094,,,2.19,3.27,4.58,5.54
295,2095,,,2.2,3.28,4.62,5.61
296,2096,,,2.2,3.28,4.66,5.68
297,2097,,,2.21,3.29,4.7,5.75
298,2098,,,2.22,3.29,4.74,5.81
299,2099,,,2.22,3.29,4.78,5.87
300,2100,,,2.23,3.3,4.83,5.95
