Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
182,1982,0.5811111111111111,0.53,,,,
183,1983,0.6911111111111111,0.55,,,,
184,1984,0.19111111111111112,0.57,,,,
185,1985,0.28111111111111114,0.58,,,,
186,1986,0.4111111111111111,0.59,,,,
187,1987,0.7411111111111112,0.6,,,,
188,1988,0.9911111111111112,0.62,,,,
189,1989,0.35111111111111115,0.65,,,,
190,1990,0.8611111111111112,0.69,,,,
191,1991,0.8411111111111111,0.73,,,,
192,1992,0.6811111111111111,0.78,,,,
193,1993,0.40111111111111114,0.83,,,,
194,1994,0.7411111111111112,0.87,,,,
195,1995,1.001111111111111,0.92,,,,
196,1996,0.8811111111111112,0.96,,,,
197,1997,1.1311111111111112,1.01,,,,
198,1998,1.401111111111111,1.06,,,,
199,1999,1.041111111111111,1.11,,,,
200,2000,1.1411111111111112,1.16,,,,
201,2001,1.0711111111111111,1.19,,,,
202,2002,1.401111111111111,1.23,,,,
203,2003,1.431111111111111,1.25,,,,
204,2004,1.191111111111111,1.27,,,,
205,2005,1.411111111111111,1.28,1.36,1.34,1.34,1.31
206,2006,1.361111111111111,1.3,1.38,1.37,1.37,1.34
207,2007,1.3411111111111111,1.32,1.41,1.4,1.4,1.37
208,2008,0.9511111111111111,1.34,1.44,1.43,1.43,1.4
209,2009,1.391111111111111,1.37,1.46,1.46,1.46,1.44
210,2010,1.3211111111111111,1.4,1.49,1.49,1.49,1.47
211,2011,1.371111111111111,1.44,1.51,1.51,1.51,1.5
212,2012,1.301111111111111,1.49,1.54,1.54,1.54,1.54
213,2013,1.501111111111111,1.54,1.57,1.57,1.57,1.57
214,2014,1.3411111111111111,1.6,1.59,1.6,1.6,1.61
215,2015,1.8511111111111112,1.65,1.62,1.63,1.63,1.64
216,2016,1.8111111111111111,1.71,1.64,1.65,1.65,1.67
217,2017,1.881111111111111,1.76,1.67,1.67,1.68,1.7
218,2018,1.611111111111111,1.82,1.69,1.7,1.7,1.73
219,2019,1.951111111111111,1.88,1.72,1.73,1.72,1.76
220,2020,2.0011111111111113,1.94,1.75,1.75,1.75,1.79
221,2021,,,1.79,1.78,1.79,1.82
222,2022,,,1.82,1.81,1.82,1.86
223,2023,,,1.85,1.84,1.86,1.89
224,2024,,,1.88,1.87,1.89,1.92
225,2025,,,1.91,1.9,1.92,1.96
226,2026,,,1.94,1.93,1.96,1.99
227,2027,,,1.97,1.96,1.99,2.03
228,2028,,,2.0,1.99,2.03,2.07
229,2029,,,2.02,2.01,2.06,2.11
230,2030,,,2.05,2.04,2.09,2.14
231,2031,,,2.08,2.06,2.11,2.18
232,2032,,,2.1,2.09,2.14,2.21
233,2033,,,2.13,2.11,2.16,2.25
