Somaliland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
187,1987,0.7975000000000001,0.66,,,,
188,1988,0.9475,0.68,,,,
189,1989,0.38750000000000007,0.7,,,,
190,1990,0.9975,0.73,,,,
191,1991,0.9075,0.77,,,,
192,1992,0.7075,0.81,,,,
193,1993,0.4575,0.85,,,,
194,1994,0.8975,0.89,,,,
195,1995,1.0175,0.93,,,,
196,1996,0.7275,0.96,,,,
197,1997,1.0575,0.99,,,,
198,1998,1.2675,1.03,,,,
199,1999,1.0975000000000001,1.07,,,,
200,2000,1.1175,1.11,,,,
201,2001,1.0575,1.15,,,,
202,2002,1.1975,1.18,,,,
203,2003,1.3275000000000001,1.2,,,,
204,2004,1.0775000000000001,1.22,,,,
205,2005,1.4175000000000002,1.24,1.32,1.31,1.31,1.27
206,2006,1.3075,1.25,1.35,1.33,1.34,1.3
207,2007,1.3675000000000002,1.27,1.37,1.36,1.37,1.33
208,2008,0.9075,1.3,1.4,1.39,1.4,1.37
209,2009,1.4075000000000002,1.33,1.43,1.42,1.42,1.4
210,2010,1.3675000000000002,1.36,1.45,1.45,1.45,1.43
211,2011,1.2175,1.4,1.48,1.47,1.48,1.46
212,2012,1.2475,1.45,1.5,1.5,1.5,1.5
213,2013,1.3875000000000002,1.51,1.53,1.53,1.53,1.53
214,2014,1.2675,1.56,1.56,1.56,1.56,1.57
215,2015,1.8675000000000002,1.62,1.59,1.59,1.59,1.6
216,2016,1.7775,1.67,1.61,1.61,1.61,1.63
217,2017,1.8475000000000001,1.73,1.63,1.64,1.63,1.66
218,2018,1.4475,1.79,1.65,1.66,1.65,1.69
219,2019,2.0075,1.85,1.67,1.69,1.68,1.73
220,2020,1.9675,1.91,1.7,1.73,1.71,1.76
221,2021,,,1.73,1.76,1.74,1.79
222,2022,,,1.77,1.79,1.78,1.83
223,2023,,,1.79,1.82,1.81,1.86
224,2024,,,1.82,1.85,1.84,1.89
225,2025,,,1.86,1.88,1.87,1.92
226,2026,,,1.89,1.91,1.91,1.95
227,2027,,,1.92,1.93,1.94,1.99
228,2028,,,1.95,1.96,1.98,2.02
229,2029,,,1.98,1.99,2.01,2.06
230,2030,,,2.01,2.01,2.04,2.1
231,2031,,,2.03,2.03,2.07,2.13
232,2032,,,2.06,2.05,2.1,2.17
233,2033,,,2.09,2.08,2.13,2.21
234,2034,,,2.11,2.1,2.15,2.25
235,2035,,,2.13,2.13,2.18,2.29
236,2036,,,2.14,2.15,2.21,2.33
237,2037,,,2.16,2.18,2.25,2.37
238,2038,,,2.17,2.2,2.28,2.41
239,2039,,,2.19,2.23,2.31,2.46
240,2040,,,2.2,2.25,2.35,2.5
241,2041,,,2.21,2.28,2.39,2.54
242,2042,,,2.22,2.3,2.42,2.58
243,2043,,,2.23,2.33,2.45,2.63
244,2044,,,2.24,2.36,2.49,2.67
245,2045,,,2.26,2.38,2.52,2.72
246,2046,,,2.27,2.41,2.56,2.76
247,2047,,,2.28,2.44,2.6,2.81
248,2048,,,2.29,2.47,2.63,2.85
249,2049,,,2.3,2.5,2.66,2.9
250,2050,,,2.31,2.52,2.69,2.95
251,2051,,,2.32,2.55,2.73,3.0
252,2052,,,2.34,2.58,2.76,3.06
253,2053,,,2.35,2.6,2.8,3.11
254,2054,,,2.36,2.62,2.84,3.17
255,2055,,,2.37,2.65,2.88,3.22
256,2056,,,2.37,2.68,2.92,3.27
257,2057,,,2.38,2.7,2.96,3.33
258,2058,,,2.38,2.72,3.01,3.39
259,2059,,,2.39,2.75,3.05,3.44
260,2060,,,2.39,2.77,3.09,3.48
261,2061,,,2.4,2.79,3.13,3.53
262,2062,,,2.39,2.82,3.17,3.58
263,2063,,,2.4,2.84,3.22,3.63
264,2064,,,2.39,2.87,3.26,3.68
265,2065,,,2.39,2.89,3.3,3.73
266,2066,,,2.39,2.91,3.34,3.78
267,2067,,,2.39,2.93,3.37,3.83
268,2068,,,2.38,2.95,3.41,3.88
269,2069,,,2.38,2.97,3.44,3.93
270,2070,,,2.38,2.98,3.48,3.98
271,2071,,,2.38,3.0,3.52,4.03
272,2072,,,2.38,3.02,3.55,4.08
273,2073,,,2.38,3.03,3.59,4.13
274,2074,,,2.37,3.05,3.62,4.19
275,2075,,,2.37,3.06,3.66,4.24
276,2076,,,2.37,3.07,3.71,4.29
277,2077,,,2.37,3.09,3.75,4.35
278,2078,,,2.37,3.11,3.8,4.4
279,2079,,,2.37,3.12,3.84,4.46
280,2080,,,2.37,3.14,3.89,4.52
281,2081,,,2.37,3.15,3.94,4.57
282,2082,,,2.36,3.17,3.99,4.63
283,2083,,,2.36,3.19,4.04,4.7
284,2084,,,2.35,3.2,4.09,4.75
285,2085,,,2.35,3.22,4.13,4.81
286,2086,,,2.34,3.23,4.18,4.87
287,2087,,,2.33,3.25,4.22,4.92
288,2088,,,2.32,3.26,4.26,4.98
289,2089,,,2.31,3.28,4.3,5.04
290,2090,,,2.3,3.29,4.34,5.09
291,2091,,,2.29,3.3,4.38,5.15
292,2092,,,2.28,3.3,4.42,5.21
293,2093,,,2.27,3.31,4.46,5.26
294,2094,,,2.27,3.32,4.49,5.32
295,2095,,,2.26,3.32,4.53,5.37
296,2096,,,2.25,3.33,4.57,5.43
297,2097,,,2.25,3.34,4.61,5.48
298,2098,,,2.24,3.34,4.65,5.53
299,2099,,,2.23,3.34,4.69,5.58
300,2100,,,2.23,3.35,4.73,5.64
