Western Sahara,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11741935483870974,-0.17,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,0.15258064516129022,-0.21,,,,
7,1807,,,,,,
8,1808,-0.5674193548387098,-0.22,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.43741935483870975,-0.26,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,0.012580645161290205,-0.3,,,,
19,1819,-0.8574193548387097,-0.3,,,,
20,1820,,,,,,
21,1821,-0.1674193548387098,-0.25,,,,
22,1822,-0.43741935483870975,-0.24,,,,
23,1823,-0.3674193548387098,-0.22,,,,
24,1824,0.16258064516129023,-0.21,,,,
25,1825,-0.14741935483870977,-0.21,,,,
26,1826,-0.04741935483870979,-0.2,,,,
27,1827,0.25258064516129025,-0.19,,,,
28,1828,-0.3874193548387098,-0.2,,,,
29,1829,-0.3474193548387098,-0.22,,,,
30,1830,0.23258064516129023,-0.25,,,,
31,1831,-0.3974193548387097,-0.28,,,,
32,1832,-0.7574193548387098,-0.32,,,,
33,1833,-0.30741935483870975,-0.36,,,,
34,1834,0.06258064516129022,-0.39,,,,
35,1835,-0.6974193548387098,-0.42,,,,
36,1836,-0.43741935483870975,-0.44,,,,
37,1837,-0.5674193548387098,-0.45,,,,
38,1838,-0.44741935483870976,-0.46,,,,
39,1839,-0.5574193548387097,-0.46,,,,
40,1840,-0.3874193548387098,-0.46,,,,
41,1841,-0.6674193548387097,-0.46,,,,
42,1842,,,,,,
43,1843,-0.04741935483870979,-0.43,,,,
44,1844,-0.6174193548387098,-0.4,,,,
45,1845,-0.5074193548387098,-0.37,,,,
46,1846,,,,,,
47,1847,-0.2274193548387098,-0.32,,,,
48,1848,-0.5074193548387098,-0.29,,,,
49,1849,-0.3774193548387098,-0.27,,,,
50,1850,-0.11741935483870974,-0.25,,,,
51,1851,0.23258064516129023,-0.22,,,,
52,1852,-0.08741935483870977,-0.19,,,,
53,1853,-0.18741935483870975,-0.17,,,,
54,1854,-0.21741935483870978,-0.14,,,,
55,1855,-0.32741935483870976,-0.13,,,,
56,1856,-0.18741935483870975,-0.13,,,,
57,1857,-0.30741935483870975,-0.14,,,,
58,1858,0.46258064516129027,-0.13,,,,
59,1859,0.3325806451612902,-0.12,,,,
60,1860,-0.4774193548387098,-0.09,,,,
61,1861,-0.04741935483870979,-0.05,,,,
62,1862,-0.4074193548387097,-0.02,,,,
63,1863,-0.32741935483870976,0.01,,,,
64,1864,0.21258064516129022,0.03,,,,
65,1865,0.23258064516129023,0.04,,,,
66,1866,0.15258064516129022,0.05,,,,
67,1867,0.6625806451612902,0.05,,,,
68,1868,-0.057419354838709746,0.06,,,,
69,1869,0.17258064516129024,0.06,,,,
70,1870,0.2825806451612902,0.05,,,,
71,1871,-0.10741935483870979,0.05,,,,
72,1872,-0.3474193548387098,0.05,,,,
73,1873,-0.1674193548387098,0.05,,,,
74,1874,-0.11741935483870974,0.05,,,,
75,1875,-0.06741935483870976,0.05,,,,
76,1876,0.4025806451612902,0.05,,,,
77,1877,0.36258064516129024,0.03,,,,
78,1878,0.7725806451612902,0.01,,,,
79,1879,0.022580645161290214,-0.01,,,,
80,1880,-0.7474193548387098,-0.03,,,,
81,1881,0.46258064516129027,-0.06,,,,
82,1882,0.012580645161290205,-0.1,,,,
83,1883,-0.3874193548387098,-0.15,,,,
84,1884,-0.5674193548387098,-0.19,,,,
85,1885,-0.5274193548387097,-0.22,,,,
86,1886,-0.3574193548387098,-0.22,,,,
87,1887,0.08258064516129024,-0.2,,,,
88,1888,-0.08741935483870977,-0.17,,,,
89,1889,-0.43741935483870975,-0.12,,,,
90,1890,-0.6774193548387097,-0.07,,,,
91,1891,0.012580645161290205,-0.02,,,,
92,1892,0.29258064516129023,0.03,,,,
93,1893,0.7625806451612902,0.08,,,,
94,1894,-0.09741935483870978,0.13,,,,
95,1895,0.5425806451612902,0.18,,,,
96,1896,-0.12741935483870975,0.22,,,,
97,1897,0.42258064516129024,0.25,,,,
98,1898,0.07258064516129023,0.25,,,,
99,1899,1.0425806451612902,0.24,,,,
100,1900,0.19258064516129023,0.22,,,,
101,1901,0.4125806451612902,0.2,,,,
102,1902,0.5325806451612902,0.17,,,,
103,1903,0.03258064516129022,0.15,,,,
104,1904,-0.057419354838709746,0.13,,,,
105,1905,0.06258064516129022,0.1,,,,
106,1906,0.012580645161290205,0.07,,,,
107,1907,-0.45741935483870977,0.05,,,,
108,1908,0.06258064516129022,0.05,,,,
109,1909,0.18258064516129024,0.05,,,,
110,1910,0.04258064516129023,0.06,,,,
111,1911,-0.13741935483870976,0.07,,,,
112,1912,0.06258064516129022,0.07,,,,
113,1913,0.21258064516129022,0.07,,,,
114,1914,0.49258064516129024,0.07,,,,
115,1915,0.3325806451612902,0.07,,,,
116,1916,0.0025806451612902515,0.06,,,,
117,1917,-0.1674193548387098,0.06,,,,
118,1918,-0.2374193548387098,0.06,,,,
119,1919,0.15258064516129022,0.06,,,,
120,1920,-0.10741935483870979,0.07,,,,
