Nepal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
263,2063,,,2.22,2.67,2.99,3.48
264,2064,,,2.22,2.7,3.04,3.54
265,2065,,,2.22,2.72,3.08,3.61
266,2066,,,2.22,2.73,3.12,3.68
267,2067,,,2.22,2.75,3.16,3.75
268,2068,,,2.21,2.77,3.19,3.82
269,2069,,,2.21,2.79,3.23,3.89
270,2070,,,2.21,2.81,3.26,3.96
271,2071,,,2.2,2.83,3.3,4.03
272,2072,,,2.2,2.85,3.33,4.1
273,2073,,,2.19,2.87,3.37,4.17
274,2074,,,2.19,2.89,3.42,4.24
275,2075,,,2.19,2.91,3.47,4.31
276,2076,,,2.19,2.93,3.52,4.37
277,2077,,,2.19,2.96,3.58,4.43
278,2078,,,2.19,2.98,3.64,4.49
279,2079,,,2.19,3.0,3.69,4.56
280,2080,,,2.19,3.02,3.76,4.63
281,2081,,,2.19,3.04,3.82,4.69
282,2082,,,2.19,3.05,3.88,4.76
283,2083,,,2.19,3.07,3.94,4.83
284,2084,,,2.18,3.09,4.0,4.89
285,2085,,,2.18,3.11,4.05,4.96
286,2086,,,2.18,3.13,4.11,5.02
287,2087,,,2.17,3.15,4.16,5.09
288,2088,,,2.16,3.16,4.21,5.16
289,2089,,,2.15,3.18,4.26,5.23
290,2090,,,2.14,3.2,4.3,5.29
291,2091,,,2.13,3.22,4.35,5.36
292,2092,,,2.14,3.23,4.4,5.43
293,2093,,,2.14,3.24,4.45,5.5
294,2094,,,2.14,3.26,4.5,5.56
295,2095,,,2.14,3.27,4.55,5.63
296,2096,,,2.14,3.28,4.6,5.7
297,2097,,,2.14,3.29,4.65,5.76
298,2098,,,2.14,3.3,4.7,5.83
299,2099,,,2.14,3.31,4.75,5.89
300,2100,,,2.14,3.32,4.81,5.96
