Tonga,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
182,1982,0.5318181818181819,0.71,,,,
183,1983,0.7318181818181818,0.73,,,,
184,1984,0.9518181818181819,0.75,,,,
185,1985,0.8518181818181818,0.76,,,,
186,1986,0.3718181818181818,0.77,,,,
187,1987,0.45181818181818184,0.77,,,,
188,1988,1.5318181818181817,0.76,,,,
189,1989,1.021818181818182,0.77,,,,
190,1990,0.9418181818181819,0.79,,,,
191,1991,0.7918181818181818,0.81,,,,
192,1992,0.7318181818181818,0.84,,,,
193,1993,0.4718181818181818,0.88,,,,
194,1994,0.5218181818181818,0.92,,,,
195,1995,1.1218181818181818,0.96,,,,
196,1996,1.2418181818181817,1.0,,,,
197,1997,0.6418181818181818,1.04,,,,
198,1998,1.3518181818181818,1.08,,,,
199,1999,1.1218181818181818,1.12,,,,
200,2000,1.3018181818181818,1.16,,,,
201,2001,1.291818181818182,1.19,,,,
202,2002,1.3018181818181818,1.21,,,,
203,2003,1.1218181818181818,1.23,,,,
204,2004,1.1318181818181818,1.26,,,,
205,2005,1.1418181818181818,1.28,1.31,1.3,1.32,1.3
206,2006,1.2018181818181817,1.31,1.32,1.31,1.33,1.31
207,2007,1.5718181818181818,1.32,1.33,1.32,1.33,1.32
208,2008,1.2818181818181817,1.34,1.33,1.33,1.34,1.33
209,2009,0.6118181818181818,1.35,1.34,1.33,1.35,1.34
210,2010,1.621818181818182,1.37,1.35,1.34,1.35,1.35
211,2011,1.6818181818181817,1.39,1.36,1.35,1.36,1.36
212,2012,1.2018181818181817,1.4,1.37,1.36,1.37,1.37
213,2013,1.621818181818182,1.41,1.38,1.37,1.37,1.38
214,2014,1.1418181818181818,1.41,1.39,1.38,1.38,1.39
215,2015,0.7818181818181819,1.42,1.4,1.4,1.4,1.41
216,2016,1.4418181818181819,1.42,1.42,1.42,1.41,1.42
217,2017,1.501818181818182,1.43,1.44,1.45,1.43,1.45
218,2018,1.4418181818181819,1.43,1.45,1.47,1.45,1.47
219,2019,1.3818181818181818,1.44,1.47,1.49,1.47,1.49
220,2020,1.521818181818182,1.44,1.5,1.52,1.49,1.51
221,2021,,,1.52,1.54,1.51,1.53
222,2022,,,1.54,1.56,1.53,1.55
223,2023,,,1.56,1.58,1.55,1.57
224,2024,,,1.58,1.59,1.58,1.6
225,2025,,,1.6,1.61,1.6,1.62
226,2026,,,1.62,1.62,1.62,1.64
227,2027,,,1.63,1.63,1.64,1.67
228,2028,,,1.65,1.64,1.66,1.69
229,2029,,,1.66,1.65,1.68,1.72
230,2030,,,1.68,1.67,1.7,1.75
231,2031,,,1.69,1.68,1.71,1.77
232,2032,,,1.7,1.69,1.73,1.8
233,2033,,,1.71,1.7,1.75,1.83
234,2034,,,1.73,1.72,1.78,1.85
235,2035,,,1.74,1.74,1.8,1.88
236,2036,,,1.74,1.76,1.83,1.91
237,2037,,,1.75,1.78,1.86,1.93
238,2038,,,1.76,1.79,1.88,1.96
239,2039,,,1.76,1.81,1.91,1.98
240,2040,,,1.77,1.83,1.94,2.01
241,2041,,,1.78,1.84,1.97,2.04
242,2042,,,1.79,1.86,1.99,2.07
243,2043,,,1.79,1.88,2.02,2.1
244,2044,,,1.8,1.89,2.04,2.13
245,2045,,,1.8,1.9,2.07,2.16
246,2046,,,1.81,1.92,2.09,2.2
247,2047,,,1.82,1.94,2.11,2.23
248,2048,,,1.83,1.96,2.14,2.26
249,2049,,,1.83,1.97,2.16,2.3
250,2050,,,1.83,1.99,2.18,2.33
251,2051,,,1.84,2.02,2.21,2.37
252,2052,,,1.84,2.03,2.23,2.41
253,2053,,,1.84,2.05,2.26,2.44
254,2054,,,1.85,2.07,2.29,2.48
255,2055,,,1.85,2.09,2.32,2.51
256,2056,,,1.86,2.11,2.34,2.54
257,2057,,,1.86,2.13,2.37,2.57
258,2058,,,1.87,2.15,2.4,2.6
259,2059,,,1.87,2.17,2.43,2.63
260,2060,,,1.87,2.19,2.46,2.66
261,2061,,,1.88,2.2,2.48,2.69
262,2062,,,1.89,2.21,2.51,2.72
263,2063,,,1.89,2.23,2.53,2.75
264,2064,,,1.9,2.24,2.56,2.78
265,2065,,,1.91,2.25,2.58,2.82
266,2066,,,1.91,2.26,2.61,2.85
267,2067,,,1.91,2.27,2.64,2.89
268,2068,,,1.91,2.28,2.66,2.92
269,2069,,,1.9,2.29,2.68,2.96
270,2070,,,1.9,2.3,2.7,3.0
271,2071,,,1.89,2.32,2.73,3.04
272,2072,,,1.88,2.33,2.76,3.08
273,2073,,,1.87,2.34,2.79,3.12
274,2074,,,1.86,2.36,2.82,3.16
275,2075,,,1.86,2.37,2.85,3.2
276,2076,,,1.85,2.38,2.87,3.24
277,2077,,,1.84,2.39,2.9,3.29
278,2078,,,1.83,2.4,2.93,3.33
279,2079,,,1.83,2.41,2.96,3.37
280,2080,,,1.82,2.42,2.99,3.41
281,2081,,,1.83,2.43,3.01,3.45
282,2082,,,1.83,2.44,3.04,3.49
283,2083,,,1.83,2.44,3.06,3.52
284,2084,,,1.84,2.45,3.09,3.56
285,2085,,,1.84,2.45,3.12,3.59
286,2086,,,1.84,2.46,3.15,3.63
287,2087,,,1.84,2.46,3.18,3.67
288,2088,,,1.84,2.47,3.21,3.7
289,2089,,,1.84,2.49,3.24,3.74
290,2090,,,1.84,2.5,3.27,3.78
291,2091,,,1.85,2.51,3.3,3.81
292,2092,,,1.84,2.52,3.33,3.85
293,2093,,,1.84,2.53,3.35,3.89
294,2094,,,1.83,2.54,3.38,3.93
295,2095,,,1.82,2.55,3.41,3.97
296,2096,,,1.82,2.55,3.43,4.01
297,2097,,,1.81,2.56,3.46,4.04
298,2098,,,1.81,2.57,3.49,4.08
299,2099,,,1.8,2.58,3.51,4.12
300,2100,,,1.8,2.59,3.54,4.16
