Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
182,1982,1.001818181818182,0.87,,,,
183,1983,1.3618181818181818,0.9,,,,
184,1984,0.7018181818181819,0.92,,,,
185,1985,0.7418181818181818,0.93,,,,
186,1986,0.8518181818181818,0.93,,,,
187,1987,1.3618181818181818,0.94,,,,
188,1988,1.2618181818181817,0.94,,,,
189,1989,0.6418181818181818,0.96,,,,
190,1990,0.9418181818181819,0.98,,,,
191,1991,0.9418181818181819,1.0,,,,
192,1992,1.1318181818181818,1.02,,,,
193,1993,0.9318181818181819,1.05,,,,
194,1994,1.041818181818182,1.07,,,,
195,1995,1.1818181818181819,1.1,,,,
196,1996,0.9518181818181819,1.13,,,,
197,1997,1.3018181818181818,1.16,,,,
198,1998,1.331818181818182,1.2,,,,
199,1999,0.6618181818181819,1.24,,,,
200,2000,1.2218181818181817,1.29,,,,
201,2001,1.1218181818181818,1.32,,,,
202,2002,1.331818181818182,1.35,,,,
203,2003,1.6818181818181817,1.38,,,,
204,2004,1.4918181818181817,1.4,,,,
205,2005,2.131818181818182,1.44,1.33,1.32,1.35,1.3
206,2006,1.521818181818182,1.47,1.36,1.35,1.38,1.33
207,2007,1.451818181818182,1.49,1.39,1.38,1.4,1.37
208,2008,1.2218181818181817,1.5,1.42,1.41,1.43,1.4
209,2009,1.581818181818182,1.51,1.45,1.45,1.46,1.44
210,2010,1.7218181818181817,1.51,1.48,1.48,1.49,1.47
211,2011,1.501818181818182,1.53,1.51,1.51,1.52,1.51
212,2012,1.5318181818181817,1.55,1.55,1.55,1.55,1.55
213,2013,1.4418181818181819,1.57,1.58,1.58,1.58,1.58
214,2014,1.4318181818181819,1.58,1.61,1.61,1.61,1.62
215,2015,1.7418181818181817,1.6,1.64,1.65,1.64,1.66
216,2016,1.7218181818181817,1.61,1.67,1.67,1.66,1.68
217,2017,1.7418181818181817,1.62,1.7,1.7,1.68,1.71
218,2018,1.4018181818181819,1.64,1.72,1.73,1.71,1.74
219,2019,1.751818181818182,1.65,1.75,1.76,1.73,1.77
220,2020,1.601818181818182,1.67,1.78,1.79,1.75,1.8
221,2021,,,1.81,1.81,1.78,1.83
222,2022,,,1.84,1.84,1.81,1.86
223,2023,,,1.87,1.86,1.83,1.89
224,2024,,,1.9,1.89,1.86,1.92
225,2025,,,1.93,1.91,1.88,1.95
226,2026,,,1.96,1.94,1.91,1.98
227,2027,,,1.98,1.96,1.93,2.01
228,2028,,,2.01,1.99,1.96,2.04
229,2029,,,2.04,2.02,1.99,2.07
230,2030,,,2.06,2.04,2.03,2.1
231,2031,,,2.08,2.06,2.06,2.13
232,2032,,,2.1,2.09,2.09,2.17
233,2033,,,2.12,2.11,2.12,2.2
234,2034,,,2.14,2.14,2.14,2.24
235,2035,,,2.15,2.16,2.17,2.28
236,2036,,,2.17,2.18,2.21,2.32
237,2037,,,2.18,2.2,2.24,2.36
238,2038,,,2.2,2.23,2.28,2.4
239,2039,,,2.21,2.25,2.31,2.45
240,2040,,,2.22,2.27,2.35,2.49
241,2041,,,2.23,2.29,2.38,2.54
242,2042,,,2.24,2.32,2.41,2.57
243,2043,,,2.25,2.34,2.44,2.61
244,2044,,,2.26,2.37,2.47,2.65
245,2045,,,2.27,2.39,2.5,2.69
246,2046,,,2.28,2.42,2.54,2.73
247,2047,,,2.28,2.45,2.58,2.77
248,2048,,,2.29,2.48,2.61,2.81
249,2049,,,2.29,2.5,2.64,2.85
250,2050,,,2.29,2.53,2.67,2.89
251,2051,,,2.3,2.55,2.71,2.94
252,2052,,,2.3,2.58,2.74,2.98
253,2053,,,2.3,2.6,2.78,3.03
254,2054,,,2.31,2.63,2.82,3.08
255,2055,,,2.31,2.65,2.86,3.13
256,2056,,,2.31,2.68,2.9,3.18
257,2057,,,2.32,2.7,2.93,3.23
258,2058,,,2.32,2.72,2.97,3.28
259,2059,,,2.33,2.74,3.01,3.33
260,2060,,,2.33,2.76,3.05,3.37
261,2061,,,2.33,2.78,3.09,3.42
262,2062,,,2.33,2.8,3.13,3.48
263,2063,,,2.33,2.82,3.17,3.53
264,2064,,,2.33,2.83,3.21,3.57
265,2065,,,2.33,2.85,3.24,3.62
266,2066,,,2.33,2.86,3.28,3.67
