Republic of Congo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
145,1945,0.9893333333333334,0.64,,,,
146,1946,0.28933333333333333,0.63,,,,
147,1947,0.8193333333333334,0.61,,,,
148,1948,0.6093333333333333,0.59,,,,
149,1949,0.7993333333333333,0.56,,,,
150,1950,0.47933333333333333,0.53,,,,
151,1951,0.5293333333333333,0.5,,,,
152,1952,0.48933333333333334,0.48,,,,
153,1953,0.42933333333333334,0.46,,,,
154,1954,0.12933333333333336,0.44,,,,
155,1955,0.14933333333333332,0.43,,,,
156,1956,0.20933333333333332,0.41,,,,
157,1957,0.48933333333333334,0.41,,,,
158,1958,0.5093333333333333,0.41,,,,
159,1959,0.5293333333333333,0.42,,,,
160,1960,0.5293333333333333,0.43,,,,
161,1961,0.23933333333333334,0.45,,,,
162,1962,0.43933333333333335,0.47,,,,
163,1963,0.6393333333333333,0.48,,,,
164,1964,0.3993333333333333,0.5,,,,
165,1965,0.3993333333333333,0.52,,,,
166,1966,0.6793333333333333,0.53,,,,
167,1967,0.43933333333333335,0.54,,,,
168,1968,0.44933333333333336,0.56,,,,
169,1969,0.7193333333333334,0.57,,,,
170,1970,0.7793333333333333,0.58,,,,
171,1971,0.4093333333333333,0.6,,,,
172,1972,0.6393333333333333,0.62,,,,
173,1973,0.9993333333333334,0.64,,,,
174,1974,0.42933333333333334,0.67,,,,
175,1975,0.4693333333333333,0.69,,,,
176,1976,0.3893333333333333,0.7,,,,
177,1977,0.9493333333333334,0.72,,,,
178,1978,0.7393333333333334,0.73,,,,
179,1979,1.0793333333333335,0.75,,,,
180,1980,0.9393333333333334,0.77,,,,
181,1981,0.6893333333333334,0.8,,,,
182,1982,0.5193333333333333,0.82,,,,
183,1983,0.9993333333333334,0.84,,,,
184,1984,0.8993333333333333,0.85,,,,
185,1985,0.6993333333333334,0.85,,,,
186,1986,0.7593333333333333,0.85,,,,
187,1987,1.2993333333333332,0.85,,,,
188,1988,0.9493333333333334,0.86,,,,
189,1989,0.7193333333333334,0.87,,,,
190,1990,0.9393333333333334,0.88,,,,
191,1991,0.9793333333333334,0.89,,,,
192,1992,0.6693333333333333,0.91,,,,
193,1993,0.7493333333333333,0.92,,,,
194,1994,0.8893333333333333,0.94,,,,
195,1995,1.0693333333333332,0.96,,,,
196,1996,0.7793333333333333,0.99,,,,
197,1997,1.1393333333333333,1.03,,,,
198,1998,1.7793333333333332,1.07,,,,
199,1999,1.0093333333333332,1.12,,,,
200,2000,1.0093333333333332,1.17,,,,
201,2001,1.0193333333333334,1.22,,,,
202,2002,1.3093333333333335,1.26,,,,
203,2003,1.3893333333333333,1.29,,,,
204,2004,1.4793333333333334,1.32,,,,
205,2005,1.6993333333333331,1.34,1.19,1.19,1.22,1.18
206,2006,1.5693333333333332,1.35,1.22,1.22,1.25,1.22
207,2007,1.3693333333333333,1.35,1.26,1.25,1.28,1.25
208,2008,1.1893333333333334,1.36,1.29,1.29,1.31,1.28
209,2009,1.4593333333333334,1.36,1.32,1.32,1.33,1.31
210,2010,1.6293333333333333,1.36,1.35,1.35,1.36,1.35
211,2011,1.0693333333333332,1.36,1.38,1.38,1.39,1.38
212,2012,0.9693333333333334,1.38,1.41,1.41,1.42,1.41
213,2013,1.1693333333333333,1.4,1.45,1.45,1.45,1.45
214,2014,1.2093333333333334,1.43,1.48,1.48,1.48,1.48
215,2015,1.4093333333333333,1.45,1.51,1.51,1.5,1.51
216,2016,1.7193333333333332,1.48,1.54,1.54,1.52,1.54
217,2017,1.4493333333333334,1.51,1.57,1.57,1.55,1.57
218,2018,1.3593333333333333,1.54,1.6,1.6,1.57,1.6
219,2019,1.7393333333333332,1.57,1.62,1.63,1.59,1.63
220,2020,1.8493333333333335,1.6,1.65,1.65,1.61,1.66
221,2021,,,1.68,1.68,1.64,1.69
222,2022,,,1.71,1.71,1.67,1.72
223,2023,,,1.74,1.73,1.7,1.76
224,2024,,,1.76,1.76,1.73,1.79
225,2025,,,1.79,1.78,1.75,1.82
226,2026,,,1.82,1.81,1.78,1.85
227,2027,,,1.85,1.83,1.81,1.88
228,2028,,,1.87,1.86,1.84,1.91
229,2029,,,1.9,1.88,1.87,1.94
230,2030,,,1.92,1.9,1.9,1.97
231,2031,,,1.95,1.93,1.93,2.01
232,2032,,,1.97,1.95,1.96,2.04
233,2033,,,1.99,1.98,1.99,2.07
234,2034,,,2.01,2.0,2.02,2.11
235,2035,,,2.02,2.02,2.05,2.14
236,2036,,,2.04,2.05,2.09,2.18
237,2037,,,2.05,2.07,2.12,2.22
238,2038,,,2.07,2.1,2.16,2.26
239,2039,,,2.08,2.12,2.19,2.3
240,2040,,,2.09,2.15,2.22,2.35
241,2041,,,2.1,2.17,2.26,2.39
242,2042,,,2.12,2.2,2.29,2.43
243,2043,,,2.13,2.23,2.32,2.48
244,2044,,,2.14,2.25,2.36,2.52
245,2045,,,2.15,2.28,2.4,2.57
246,2046,,,2.16,2.3,2.44,2.62
247,2047,,,2.17,2.33,2.48,2.66
248,2048,,,2.18,2.35,2.52,2.7
249,2049,,,2.18,2.38,2.55,2.75
250,2050,,,2.19,2.4,2.59,2.79
251,2051,,,2.2,2.43,2.63,2.83
252,2052,,,2.21,2.46,2.67,2.87
253,2053,,,2.22,2.48,2.71,2.92
254,2054,,,2.22,2.51,2.75,2.96
255,2055,,,2.23,2.54,2.79,3.01
256,2056,,,2.24,2.56,2.83,3.05
257,2057,,,2.25,2.58,2.87,3.1
258,2058,,,2.25,2.61,2.91,3.14
259,2059,,,2.26,2.63,2.95,3.19
260,2060,,,2.26,2.65,2.99,3.23
261,2061,,,2.27,2.67,3.03,3.27
262,2062,,,2.27,2.69,3.07,3.32
263,2063,,,2.27,2.71,3.12,3.38
264,2064,,,2.28,2.73,3.16,3.42
265,2065,,,2.28,2.75,3.2,3.47
266,2066,,,2.27,2.77,3.24,3.52
267,2067,,,2.27,2.79,3.28,3.58
268,2068,,,2.27,2.81,3.32,3.63
269,2069,,,2.26,2.83,3.36,3.68
270,2070,,,2.26,2.85,3.4,3.73
271,2071,,,2.26,2.87,3.45,3.79
272,2072,,,2.26,2.89,3.49,3.84
273,2073,,,2.25,2.9,3.54,3.89
274,2074,,,2.25,2.92,3.58,3.95
275,2075,,,2.25,2.94,3.62,4.0
276,2076,,,2.25,2.95,3.67,4.06
277,2077,,,2.25,2.97,3.72,4.11
278,2078,,,2.25,2.99,3.76,4.16
279,2079,,,2.25,3.0,3.81,4.22
280,2080,,,2.25,3.01,3.85,4.28
281,2081,,,2.25,3.03,3.89,4.33
282,2082,,,2.25,3.04,3.93,4.39
283,2083,,,2.24,3.05,3.97,4.44
284,2084,,,2.24,3.07,4.02,4.5
285,2085,,,2.24,3.08,4.06,4.55
286,2086,,,2.23,3.09,4.1,4.61
287,2087,,,2.23,3.11,4.14,4.66
288,2088,,,2.22,3.12,4.18,4.72
289,2089,,,2.21,3.13,4.22,4.78
290,2090,,,2.21,3.15,4.26,4.84
291,2091,,,2.2,3.16,4.3,4.89
292,2092,,,2.2,3.17,4.35,4.95
293,2093,,,2.2,3.18,4.4,5.0
294,2094,,,2.19,3.19,4.44,5.06
295,2095,,,2.19,3.21,4.49,5.11
296,2096,,,2.19,3.22,4.54,5.16
297,2097,,,2.19,3.23,4.59,5.22
298,2098,,,2.19,3.24,4.64,5.27
299,2099,,,2.19,3.25,4.69,5.32
300,2100,,,2.19,3.26,4.74,5.38
