Togo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
146,1946,0.42000000000000004,0.53,,,,
147,1947,0.68,0.5,,,,
148,1948,0.23000000000000004,0.47,,,,
149,1949,0.6300000000000001,0.43,,,,
150,1950,0.26000000000000006,0.39,,,,
151,1951,0.53,0.34,,,,
152,1952,0.38000000000000006,0.31,,,,
153,1953,0.28,0.29,,,,
154,1954,0.050000000000000044,0.28,,,,
155,1955,0.020000000000000073,0.27,,,,
156,1956,0.06000000000000005,0.26,,,,
157,1957,0.25000000000000006,0.26,,,,
158,1958,0.4600000000000001,0.26,,,,
159,1959,0.48000000000000004,0.27,,,,
160,1960,0.39000000000000007,0.28,,,,
161,1961,0.21000000000000005,0.3,,,,
162,1962,0.19000000000000006,0.3,,,,
163,1963,0.44000000000000006,0.31,,,,
164,1964,0.12000000000000005,0.31,,,,
165,1965,0.22000000000000006,0.32,,,,
166,1966,0.48000000000000004,0.34,,,,
167,1967,0.13000000000000006,0.36,,,,
168,1968,0.31000000000000005,0.39,,,,
169,1969,0.6200000000000001,0.4,,,,
170,1970,0.6500000000000001,0.41,,,,
171,1971,0.21000000000000005,0.42,,,,
172,1972,0.54,0.42,,,,
173,1973,0.99,0.44,,,,
174,1974,0.33000000000000007,0.45,,,,
175,1975,0.20000000000000004,0.47,,,,
176,1976,0.020000000000000073,0.49,,,,
177,1977,0.6400000000000001,0.51,,,,
178,1978,0.39000000000000007,0.55,,,,
179,1979,0.74,0.58,,,,
180,1980,0.76,0.63,,,,
181,1981,0.75,0.68,,,,
182,1982,0.4600000000000001,0.72,,,,
183,1983,1.06,0.75,,,,
184,1984,0.8600000000000001,0.77,,,,
185,1985,0.6900000000000001,0.78,,,,
186,1986,0.6400000000000001,0.78,,,,
187,1987,1.4300000000000002,0.77,,,,
188,1988,0.9200000000000002,0.77,,,,
189,1989,0.54,0.76,,,,
190,1990,1.05,0.76,,,,
191,1991,0.5900000000000001,0.77,,,,
192,1992,0.5,0.79,,,,
193,1993,0.78,0.8,,,,
194,1994,0.73,0.83,,,,
195,1995,0.97,0.86,,,,
196,1996,0.9100000000000001,0.89,,,,
197,1997,0.8700000000000001,0.94,,,,
198,1998,1.4400000000000002,0.99,,,,
199,1999,0.9000000000000001,1.05,,,,
200,2000,0.9300000000000002,1.1,,,,
201,2001,1.09,1.15,,,,
202,2002,1.1700000000000002,1.19,,,,
203,2003,1.4000000000000001,1.23,,,,
204,2004,1.27,1.26,,,,
205,2005,1.4900000000000002,1.29,1.1,1.12,1.13,1.11
206,2006,1.4800000000000002,1.3,1.13,1.15,1.16,1.14
207,2007,1.37,1.31,1.16,1.18,1.19,1.17
208,2008,1.12,1.3,1.19,1.21,1.22,1.2
209,2009,1.22,1.29,1.22,1.24,1.25,1.24
210,2010,1.54,1.28,1.25,1.27,1.28,1.27
211,2011,1.25,1.28,1.28,1.3,1.31,1.3
212,2012,1.03,1.28,1.32,1.32,1.33,1.33
213,2013,1.11,1.3,1.35,1.35,1.36,1.36
214,2014,1.26,1.32,1.38,1.38,1.39,1.39
215,2015,1.32,1.34,1.42,1.41,1.41,1.42
216,2016,1.56,1.36,1.45,1.43,1.43,1.44
217,2017,1.4500000000000002,1.39,1.48,1.46,1.45,1.46
218,2018,1.31,1.41,1.51,1.48,1.46,1.49
219,2019,1.51,1.44,1.54,1.5,1.48,1.51
220,2020,1.4400000000000002,1.46,1.57,1.53,1.49,1.53
221,2021,,,1.61,1.55,1.51,1.56
222,2022,,,1.64,1.58,1.54,1.59
223,2023,,,1.67,1.61,1.56,1.62
224,2024,,,1.7,1.64,1.58,1.66
225,2025,,,1.73,1.67,1.61,1.69
226,2026,,,1.76,1.69,1.64,1.72
227,2027,,,1.79,1.72,1.67,1.75
228,2028,,,1.82,1.75,1.7,1.78
229,2029,,,1.84,1.78,1.73,1.82
230,2030,,,1.87,1.81,1.76,1.85
231,2031,,,1.9,1.83,1.79,1.88
232,2032,,,1.92,1.86,1.82,1.91
233,2033,,,1.95,1.88,1.85,1.94
234,2034,,,1.97,1.9,1.88,1.98
235,2035,,,1.98,1.92,1.91,2.01
236,2036,,,2.0,1.95,1.95,2.05
237,2037,,,2.01,1.97,1.98,2.08
238,2038,,,2.03,2.0,2.01,2.12
239,2039,,,2.04,2.02,2.04,2.17
240,2040,,,2.04,2.05,2.07,2.21
241,2041,,,2.05,2.07,2.1,2.25
242,2042,,,2.06,2.1,2.13,2.29
243,2043,,,2.07,2.13,2.16,2.33
244,2044,,,2.08,2.16,2.19,2.38
245,2045,,,2.09,2.18,2.23,2.42
246,2046,,,2.11,2.21,2.26,2.47
247,2047,,,2.12,2.24,2.3,2.51
248,2048,,,2.12,2.27,2.34,2.56
249,2049,,,2.13,2.3,2.37,2.6
250,2050,,,2.14,2.32,2.41,2.64
251,2051,,,2.15,2.36,2.45,2.69
252,2052,,,2.15,2.38,2.48,2.73
253,2053,,,2.16,2.41,2.52,2.78
254,2054,,,2.16,2.44,2.56,2.83
255,2055,,,2.16,2.47,2.59,2.88
256,2056,,,2.17,2.49,2.63,2.93
257,2057,,,2.17,2.52,2.66,2.98
258,2058,,,2.18,2.54,2.7,3.03
259,2059,,,2.18,2.57,2.73,3.08
260,2060,,,2.19,2.59,2.77,3.13
261,2061,,,2.19,2.61,2.81,3.18
262,2062,,,2.19,2.63,2.85,3.23
263,2063,,,2.2,2.65,2.89,3.29
264,2064,,,2.2,2.67,2.93,3.34
265,2065,,,2.2,2.69,2.97,3.39
266,2066,,,2.2,2.71,3.01,3.44
267,2067,,,2.2,2.74,3.05,3.49
268,2068,,,2.2,2.76,3.09,3.54
269,2069,,,2.2,2.78,3.13,3.59
270,2070,,,2.19,2.8,3.17,3.64
271,2071,,,2.19,2.82,3.22,3.69
272,2072,,,2.19,2.85,3.26,3.74
273,2073,,,2.19,2.86,3.3,3.8
274,2074,,,2.19,2.88,3.34,3.85
275,2075,,,2.19,2.9,3.38,3.91
276,2076,,,2.19,2.91,3.42,3.96
277,2077,,,2.19,2.93,3.47,4.02
278,2078,,,2.19,2.95,3.51,4.08
279,2079,,,2.2,2.96,3.55,4.14
280,2080,,,2.2,2.98,3.58,4.2
281,2081,,,2.2,2.99,3.62,4.26
282,2082,,,2.2,3.01,3.66,4.32
283,2083,,,2.2,3.02,3.7,4.38
284,2084,,,2.2,3.04,3.74,4.43
285,2085,,,2.19,3.05,3.78,4.48
286,2086,,,2.19,3.07,3.81,4.53
287,2087,,,2.18,3.08,3.85,4.59
288,2088,,,2.17,3.1,3.89,4.64
289,2089,,,2.16,3.11,3.93,4.7
290,2090,,,2.14,3.12,3.97,4.75
291,2091,,,2.13,3.14,4.01,4.81
292,2092,,,2.12,3.15,4.05,4.87
293,2093,,,2.11,3.16,4.1,4.93
294,2094,,,2.11,3.18,4.14,4.99
295,2095,,,2.1,3.19,4.19,5.04
296,2096,,,2.09,3.2,4.23,5.1
297,2097,,,2.09,3.21,4.28,5.15
298,2098,,,2.08,3.23,4.33,5.21
299,2099,,,2.07,3.24,4.37,5.26
300,2100,,,2.07,3.25,4.43,5.32
