Burundi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
194,1994,1.01,1.08,,,,
195,1995,1.3,1.1,,,,
196,1996,0.9,1.12,,,,
197,1997,1.47,1.15,,,,
198,1998,1.4000000000000001,1.18,,,,
199,1999,0.65,1.21,,,,
200,2000,1.2,1.24,,,,
201,2001,0.94,1.27,,,,
202,2002,1.32,1.29,,,,
203,2003,1.36,1.31,,,,
204,2004,1.3900000000000001,1.33,,,,
205,2005,2.21,1.34,1.18,1.18,1.21,1.16
206,2006,1.75,1.36,1.22,1.21,1.24,1.2
207,2007,1.36,1.37,1.25,1.25,1.27,1.24
208,2008,1.3,1.39,1.29,1.28,1.31,1.27
209,2009,1.44,1.41,1.32,1.32,1.34,1.31
210,2010,1.9,1.42,1.36,1.35,1.37,1.35
211,2011,1.22,1.43,1.39,1.39,1.4,1.39
212,2012,1.29,1.44,1.43,1.42,1.43,1.43
213,2013,1.34,1.45,1.46,1.46,1.46,1.46
214,2014,1.43,1.45,1.5,1.5,1.49,1.5
215,2015,1.51,1.46,1.54,1.53,1.52,1.54
216,2016,1.72,1.48,1.56,1.56,1.55,1.57
217,2017,1.55,1.49,1.59,1.59,1.57,1.6
218,2018,1.31,1.5,1.62,1.62,1.6,1.63
219,2019,1.56,1.51,1.65,1.66,1.62,1.66
220,2020,1.52,1.52,1.68,1.69,1.65,1.7
221,2021,,,1.71,1.71,1.68,1.73
222,2022,,,1.74,1.74,1.71,1.76
223,2023,,,1.77,1.77,1.74,1.8
224,2024,,,1.8,1.8,1.77,1.83
225,2025,,,1.83,1.82,1.79,1.87
226,2026,,,1.86,1.85,1.82,1.9
227,2027,,,1.89,1.87,1.85,1.94
228,2028,,,1.92,1.9,1.88,1.97
229,2029,,,1.95,1.92,1.91,2.0
230,2030,,,1.98,1.95,1.94,2.03
231,2031,,,2.0,1.97,1.96,2.07
232,2032,,,2.02,2.0,1.99,2.1
233,2033,,,2.05,2.03,2.01,2.13
234,2034,,,2.06,2.05,2.04,2.17
235,2035,,,2.08,2.07,2.07,2.21
236,2036,,,2.1,2.1,2.1,2.24
237,2037,,,2.11,2.12,2.14,2.28
238,2038,,,2.13,2.15,2.17,2.33
239,2039,,,2.14,2.17,2.2,2.37
240,2040,,,2.15,2.2,2.24,2.42
241,2041,,,2.16,2.22,2.28,2.46
242,2042,,,2.18,2.25,2.31,2.5
243,2043,,,2.19,2.28,2.35,2.54
244,2044,,,2.2,2.31,2.38,2.58
245,2045,,,2.21,2.34,2.42,2.62
246,2046,,,2.22,2.37,2.46,2.66
247,2047,,,2.23,2.4,2.5,2.7
248,2048,,,2.24,2.43,2.54,2.74
249,2049,,,2.24,2.45,2.57,2.78
250,2050,,,2.25,2.48,2.6,2.83
251,2051,,,2.26,2.51,2.64,2.87
252,2052,,,2.26,2.53,2.67,2.92
253,2053,,,2.27,2.56,2.71,2.97
254,2054,,,2.27,2.58,2.75,3.02
255,2055,,,2.27,2.61,2.79,3.07
256,2056,,,2.28,2.63,2.83,3.12
257,2057,,,2.28,2.65,2.87,3.17
258,2058,,,2.29,2.68,2.92,3.22
259,2059,,,2.29,2.7,2.96,3.27
260,2060,,,2.29,2.72,3.0,3.31
261,2061,,,2.29,2.74,3.04,3.36
262,2062,,,2.29,2.75,3.09,3.41
263,2063,,,2.29,2.77,3.13,3.46
264,2064,,,2.29,2.79,3.17,3.51
265,2065,,,2.29,2.8,3.21,3.56
266,2066,,,2.29,2.82,3.24,3.61
267,2067,,,2.28,2.84,3.28,3.66
268,2068,,,2.28,2.86,3.32,3.71
269,2069,,,2.27,2.88,3.35,3.76
270,2070,,,2.27,2.9,3.39,3.81
271,2071,,,2.27,2.92,3.43,3.86
272,2072,,,2.28,2.94,3.47,3.91
273,2073,,,2.27,2.96,3.51,3.96
274,2074,,,2.27,2.98,3.55,4.02
275,2075,,,2.27,2.99,3.59,4.07
276,2076,,,2.27,3.01,3.63,4.12
277,2077,,,2.27,3.03,3.68,4.17
278,2078,,,2.27,3.05,3.72,4.23
279,2079,,,2.27,3.06,3.76,4.29
280,2080,,,2.26,3.08,3.8,4.34
281,2081,,,2.26,3.09,3.84,4.4
282,2082,,,2.25,3.11,3.89,4.45
283,2083,,,2.24,3.13,3.93,4.51
284,2084,,,2.23,3.14,3.98,4.57
285,2085,,,2.22,3.16,4.02,4.63
286,2086,,,2.22,3.18,4.06,4.68
287,2087,,,2.21,3.2,4.1,4.75
288,2088,,,2.2,3.21,4.14,4.81
289,2089,,,2.19,3.23,4.18,4.87
290,2090,,,2.19,3.25,4.21,4.93
291,2091,,,2.18,3.26,4.25,4.99
292,2092,,,2.17,3.27,4.29,5.05
293,2093,,,2.17,3.28,4.33,5.11
294,2094,,,2.17,3.29,4.37,5.17
295,2095,,,2.17,3.3,4.41,5.23
296,2096,,,2.17,3.31,4.45,5.29
297,2097,,,2.16,3.32,4.49,5.34
298,2098,,,2.16,3.33,4.53,5.4
299,2099,,,2.16,3.33,4.57,5.45
300,2100,,,2.16,3.34,4.62,5.52
