Burkina Faso,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
144,1944,0.7024999999999999,0.55,,,,
145,1945,0.33249999999999996,0.52,,,,
146,1946,0.31249999999999994,0.49,,,,
147,1947,0.8825,0.45,,,,
148,1948,0.33249999999999996,0.42,,,,
149,1949,0.8125,0.39,,,,
150,1950,-0.007500000000000062,0.35,,,,
151,1951,0.5125,0.32,,,,
152,1952,0.21249999999999994,0.29,,,,
153,1953,0.20249999999999993,0.28,,,,
154,1954,0.13249999999999995,0.27,,,,
155,1955,0.052499999999999936,0.27,,,,
156,1956,0.21249999999999994,0.27,,,,
157,1957,0.16249999999999995,0.27,,,,
158,1958,0.6824999999999999,0.28,,,,
159,1959,0.5924999999999999,0.29,,,,
160,1960,0.33249999999999996,0.3,,,,
161,1961,0.03249999999999992,0.3,,,,
162,1962,0.18249999999999994,0.3,,,,
163,1963,0.6024999999999999,0.3,,,,
164,1964,0.22249999999999995,0.3,,,,
165,1965,0.07249999999999995,0.31,,,,
166,1966,0.40249999999999997,0.34,,,,
167,1967,0.09249999999999992,0.37,,,,
168,1968,0.27249999999999996,0.39,,,,
169,1969,0.8624999999999999,0.41,,,,
170,1970,0.6224999999999999,0.41,,,,
171,1971,0.37249999999999994,0.42,,,,
172,1972,0.5225,0.42,,,,
173,1973,0.9824999999999999,0.43,,,,
174,1974,0.15249999999999994,0.45,,,,
175,1975,0.052499999999999936,0.47,,,,
176,1976,-0.05750000000000005,0.48,,,,
177,1977,0.5125,0.5,,,,
178,1978,0.5924999999999999,0.54,,,,
179,1979,0.6525,0.59,,,,
180,1980,1.0125,0.65,,,,
181,1981,0.7024999999999999,0.71,,,,
182,1982,0.42249999999999993,0.76,,,,
183,1983,1.1324999999999998,0.79,,,,
184,1984,1.0025,0.8,,,,
185,1985,0.7625,0.81,,,,
186,1986,0.6124999999999999,0.81,,,,
187,1987,1.5124999999999997,0.81,,,,
188,1988,0.7825,0.8,,,,
189,1989,0.4624999999999999,0.8,,,,
190,1990,1.0525,0.8,,,,
191,1991,0.7625,0.82,,,,
192,1992,0.42249999999999993,0.84,,,,
193,1993,1.1025,0.87,,,,
194,1994,0.5325,0.9,,,,
195,1995,0.9824999999999999,0.93,,,,
196,1996,1.2625,0.96,,,,
197,1997,0.9724999999999999,0.99,,,,
198,1998,1.3824999999999998,1.03,,,,
199,1999,0.7725,1.09,,,,
200,2000,0.8925,1.13,,,,
201,2001,1.0025,1.18,,,,
202,2002,1.2825,1.21,,,,
203,2003,1.2825,1.23,,,,
204,2004,1.4525000000000001,1.26,,,,
205,2005,1.7125,1.28,1.1,1.11,1.1,1.09
206,2006,1.3525,1.3,1.13,1.14,1.13,1.12
207,2007,1.3125,1.31,1.15,1.17,1.16,1.15
208,2008,0.7324999999999999,1.29,1.18,1.19,1.19,1.18
209,2009,1.3125,1.27,1.21,1.22,1.22,1.22
210,2010,1.5124999999999997,1.26,1.24,1.25,1.25,1.25
211,2011,1.2525,1.25,1.26,1.28,1.28,1.28
212,2012,0.9325,1.25,1.29,1.3,1.31,1.31
213,2013,1.1524999999999999,1.27,1.32,1.33,1.34,1.34
214,2014,1.2325,1.29,1.35,1.36,1.37,1.37
215,2015,1.2425,1.31,1.38,1.38,1.39,1.39
216,2016,1.5625,1.33,1.41,1.4,1.41,1.41
217,2017,1.3824999999999998,1.36,1.44,1.42,1.43,1.43
218,2018,1.3624999999999998,1.38,1.47,1.45,1.45,1.46
219,2019,1.4125,1.4,1.51,1.47,1.46,1.48
220,2020,1.4125,1.43,1.54,1.5,1.48,1.51
221,2021,,,1.58,1.53,1.51,1.54
222,2022,,,1.62,1.57,1.54,1.57
223,2023,,,1.65,1.6,1.56,1.61
224,2024,,,1.69,1.63,1.59,1.64
225,2025,,,1.72,1.67,1.61,1.68
226,2026,,,1.75,1.7,1.64,1.72
227,2027,,,1.79,1.73,1.67,1.76
228,2028,,,1.82,1.76,1.7,1.79
229,2029,,,1.85,1.79,1.73,1.82
230,2030,,,1.88,1.82,1.76,1.86
231,2031,,,1.91,1.84,1.79,1.89
232,2032,,,1.94,1.87,1.82,1.93
233,2033,,,1.97,1.89,1.85,1.97
234,2034,,,1.99,1.92,1.88,2.0
235,2035,,,2.01,1.94,1.92,2.04
236,2036,,,2.03,1.96,1.97,2.07
237,2037,,,2.04,1.98,2.01,2.11
238,2038,,,2.05,2.01,2.05,2.15
239,2039,,,2.06,2.03,2.09,2.2
240,2040,,,2.07,2.06,2.13,2.24
241,2041,,,2.07,2.09,2.17,2.29
242,2042,,,2.08,2.12,2.2,2.33
243,2043,,,2.09,2.15,2.24,2.38
244,2044,,,2.1,2.18,2.27,2.42
245,2045,,,2.11,2.21,2.3,2.47
246,2046,,,2.13,2.24,2.34,2.52
247,2047,,,2.14,2.27,2.37,2.57
248,2048,,,2.15,2.3,2.41,2.62
249,2049,,,2.16,2.33,2.44,2.67
250,2050,,,2.17,2.36,2.48,2.72
251,2051,,,2.18,2.39,2.52,2.77
252,2052,,,2.19,2.42,2.57,2.82
253,2053,,,2.2,2.46,2.61,2.88
254,2054,,,2.2,2.49,2.66,2.94
255,2055,,,2.21,2.52,2.71,2.99
256,2056,,,2.21,2.56,2.76,3.05
257,2057,,,2.21,2.59,2.8,3.12
258,2058,,,2.22,2.62,2.85,3.18
259,2059,,,2.22,2.65,2.89,3.24
260,2060,,,2.22,2.67,2.93,3.29
261,2061,,,2.23,2.7,2.97,3.35
262,2062,,,2.23,2.72,3.02,3.41
263,2063,,,2.24,2.74,3.06,3.47
264,2064,,,2.24,2.77,3.11,3.53
265,2065,,,2.25,2.79,3.15,3.59
266,2066,,,2.25,2.81,3.19,3.65
267,2067,,,2.24,2.83,3.24,3.71
268,2068,,,2.24,2.85,3.28,3.77
269,2069,,,2.23,2.88,3.32,3.83
270,2070,,,2.23,2.9,3.37,3.89
271,2071,,,2.22,2.92,3.42,3.96
272,2072,,,2.22,2.95,3.47,4.01
273,2073,,,2.21,2.97,3.51,4.08
274,2074,,,2.21,2.99,3.56,4.14
275,2075,,,2.21,3.01,3.61,4.2
276,2076,,,2.21,3.03,3.66,4.27
277,2077,,,2.22,3.05,3.7,4.33
278,2078,,,2.23,3.07,3.75,4.4
279,2079,,,2.23,3.08,3.79,4.47
280,2080,,,2.24,3.1,3.84,4.54
281,2081,,,2.24,3.11,3.88,4.6
282,2082,,,2.25,3.13,3.92,4.67
283,2083,,,2.25,3.14,3.96,4.74
284,2084,,,2.24,3.16,4.01,4.8
285,2085,,,2.24,3.18,4.06,4.86
286,2086,,,2.24,3.19,4.1,4.92
287,2087,,,2.23,3.21,4.15,4.98
288,2088,,,2.21,3.22,4.19,5.04
289,2089,,,2.19,3.24,4.24,5.1
290,2090,,,2.18,3.26,4.29,5.17
291,2091,,,2.16,3.28,4.34,5.23
292,2092,,,2.14,3.29,4.4,5.3
293,2093,,,2.13,3.31,4.46,5.37
294,2094,,,2.12,3.33,4.52,5.43
295,2095,,,2.11,3.35,4.58,5.5
296,2096,,,2.1,3.37,4.64,5.57
297,2097,,,2.09,3.38,4.7,5.63
298,2098,,,2.08,3.4,4.76,5.69
299,2099,,,2.07,3.41,4.82,5.75
300,2100,,,2.06,3.43,4.88,5.83
