Uganda,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
151,1951,0.21999999999999995,0.37,,,,
152,1952,0.45999999999999996,0.37,,,,
153,1953,0.69,0.37,,,,
154,1954,0.38999999999999996,0.38,,,,
155,1955,0.20999999999999994,0.38,,,,
156,1956,-0.010000000000000064,0.37,,,,
157,1957,0.35999999999999993,0.36,,,,
158,1958,0.6799999999999999,0.36,,,,
159,1959,0.57,0.35,,,,
160,1960,0.45999999999999996,0.34,,,,
161,1961,0.2699999999999999,0.33,,,,
162,1962,0.17999999999999994,0.33,,,,
163,1963,0.20999999999999994,0.33,,,,
164,1964,0.17999999999999994,0.33,,,,
165,1965,0.37999999999999995,0.33,,,,
166,1966,0.41999999999999993,0.34,,,,
167,1967,0.20999999999999994,0.35,,,,
168,1968,0.14999999999999997,0.37,,,,
169,1969,0.57,0.39,,,,
170,1970,0.44999999999999996,0.41,,,,
171,1971,0.24999999999999994,0.44,,,,
172,1972,0.6399999999999999,0.47,,,,
173,1973,0.71,0.51,,,,
174,1974,0.29999999999999993,0.55,,,,
175,1975,0.38999999999999996,0.59,,,,
176,1976,0.58,0.64,,,,
177,1977,0.6599999999999999,0.68,,,,
178,1978,0.6399999999999999,0.71,,,,
179,1979,0.83,0.75,,,,
180,1980,1.12,0.78,,,,
181,1981,0.96,0.81,,,,
182,1982,0.7999999999999999,0.84,,,,
183,1983,1.14,0.86,,,,
184,1984,0.8499999999999999,0.86,,,,
185,1985,0.74,0.87,,,,
186,1986,0.95,0.86,,,,
187,1987,1.45,0.86,,,,
188,1988,0.94,0.85,,,,
189,1989,0.47,0.85,,,,
190,1990,0.8099999999999999,0.86,,,,
191,1991,0.71,0.87,,,,
192,1992,0.8999999999999999,0.88,,,,
193,1993,0.83,0.9,,,,
194,1994,0.7899999999999999,0.93,,,,
195,1995,1.0899999999999999,0.96,,,,
196,1996,0.77,0.99,,,,
197,1997,1.3399999999999999,1.04,,,,
198,1998,1.3599999999999999,1.08,,,,
199,1999,0.7999999999999999,1.13,,,,
200,2000,1.1,1.17,,,,
201,2001,0.99,1.21,,,,
202,2002,1.3599999999999999,1.25,,,,
203,2003,1.35,1.29,,,,
204,2004,1.45,1.32,,,,
205,2005,1.93,1.36,1.22,1.25,1.26,1.25
206,2006,1.49,1.39,1.26,1.28,1.29,1.28
207,2007,1.21,1.41,1.3,1.32,1.33,1.32
208,2008,1.2599999999999998,1.44,1.34,1.35,1.36,1.35
209,2009,1.78,1.47,1.37,1.38,1.39,1.39
210,2010,1.7,1.48,1.41,1.42,1.42,1.42
211,2011,1.45,1.5,1.45,1.45,1.46,1.45
212,2012,1.44,1.51,1.48,1.48,1.49,1.49
213,2013,1.44,1.52,1.52,1.52,1.52,1.52
214,2014,1.45,1.52,1.56,1.55,1.55,1.55
215,2015,1.66,1.53,1.6,1.58,1.58,1.58
216,2016,1.81,1.54,1.62,1.61,1.61,1.61
217,2017,1.5999999999999999,1.54,1.65,1.63,1.63,1.63
218,2018,1.16,1.55,1.67,1.66,1.64,1.65
219,2019,1.56,1.56,1.7,1.69,1.66,1.68
220,2020,1.54,1.56,1.73,1.71,1.69,1.71
221,2021,,,1.75,1.74,1.71,1.73
222,2022,,,1.78,1.76,1.74,1.77
223,2023,,,1.8,1.79,1.76,1.8
224,2024,,,1.83,1.82,1.78,1.83
225,2025,,,1.86,1.84,1.8,1.86
226,2026,,,1.89,1.87,1.82,1.9
227,2027,,,1.92,1.89,1.84,1.93
228,2028,,,1.94,1.92,1.87,1.95
229,2029,,,1.97,1.94,1.9,1.98
230,2030,,,2.0,1.96,1.93,2.01
231,2031,,,2.02,1.98,1.95,2.03
232,2032,,,2.05,2.01,1.98,2.06
233,2033,,,2.07,2.03,2.0,2.08
234,2034,,,2.09,2.05,2.02,2.11
235,2035,,,2.1,2.07,2.05,2.14
236,2036,,,2.12,2.1,2.08,2.17
237,2037,,,2.14,2.12,2.11,2.21
238,2038,,,2.16,2.14,2.13,2.25
239,2039,,,2.17,2.16,2.16,2.29
240,2040,,,2.18,2.19,2.19,2.34
241,2041,,,2.19,2.21,2.22,2.38
242,2042,,,2.2,2.24,2.25,2.42
243,2043,,,2.2,2.26,2.28,2.46
244,2044,,,2.21,2.28,2.31,2.5
245,2045,,,2.22,2.31,2.35,2.54
246,2046,,,2.22,2.33,2.39,2.58
247,2047,,,2.23,2.36,2.43,2.62
248,2048,,,2.23,2.39,2.47,2.66
249,2049,,,2.23,2.41,2.5,2.69
250,2050,,,2.24,2.44,2.53,2.73
251,2051,,,2.24,2.47,2.56,2.77
252,2052,,,2.25,2.49,2.6,2.81
253,2053,,,2.26,2.51,2.63,2.86
254,2054,,,2.26,2.54,2.67,2.9
255,2055,,,2.27,2.56,2.7,2.94
256,2056,,,2.27,2.59,2.73,2.99
257,2057,,,2.28,2.61,2.76,3.04
258,2058,,,2.29,2.63,2.79,3.09
259,2059,,,2.29,2.65,2.83,3.13
260,2060,,,2.29,2.67,2.86,3.17
261,2061,,,2.29,2.69,2.89,3.22
262,2062,,,2.29,2.71,2.93,3.26
263,2063,,,2.29,2.73,2.97,3.31
264,2064,,,2.29,2.75,3.01,3.35
265,2065,,,2.28,2.77,3.05,3.4
266,2066,,,2.28,2.78,3.08,3.44
267,2067,,,2.27,2.8,3.12,3.49
268,2068,,,2.27,2.82,3.15,3.53
269,2069,,,2.27,2.84,3.19,3.58
270,2070,,,2.27,2.86,3.23,3.63
271,2071,,,2.27,2.87,3.26,3.68
272,2072,,,2.28,2.89,3.3,3.72
273,2073,,,2.28,2.91,3.33,3.77
274,2074,,,2.28,2.92,3.36,3.82
275,2075,,,2.28,2.94,3.39,3.87
276,2076,,,2.28,2.95,3.43,3.92
277,2077,,,2.28,2.97,3.46,3.97
278,2078,,,2.28,2.98,3.5,4.02
279,2079,,,2.28,3.0,3.53,4.08
280,2080,,,2.27,3.01,3.57,4.14
281,2081,,,2.26,3.03,3.61,4.19
282,2082,,,2.25,3.04,3.64,4.24
283,2083,,,2.25,3.06,3.68,4.3
284,2084,,,2.24,3.07,3.72,4.35
285,2085,,,2.23,3.09,3.76,4.41
286,2086,,,2.23,3.11,3.8,4.46
287,2087,,,2.22,3.12,3.84,4.52
288,2088,,,2.21,3.14,3.87,4.57
289,2089,,,2.19,3.16,3.91,4.63
290,2090,,,2.18,3.17,3.94,4.68
291,2091,,,2.17,3.19,3.97,4.73
292,2092,,,2.17,3.2,4.02,4.78
293,2093,,,2.16,3.22,4.06,4.83
294,2094,,,2.16,3.23,4.1,4.88
295,2095,,,2.16,3.25,4.14,4.93
296,2096,,,2.15,3.26,4.19,4.98
297,2097,,,2.15,3.28,4.23,5.03
298,2098,,,2.14,3.29,4.28,5.08
299,2099,,,2.14,3.3,4.32,5.12
300,2100,,,2.14,3.32,4.37,5.18
