Ivory Coast,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.1777777777777777,-0.16,,,,
50,1850,-0.1877777777777777,-0.16,,,,
51,1851,-0.08777777777777773,-0.15,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.37777777777777777,-0.13,,,,
58,1858,-0.07777777777777772,-0.13,,,,
59,1859,0.34222222222222226,-0.13,,,,
60,1860,-0.33777777777777773,-0.12,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.12222222222222223,-0.11,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.14777777777777779,-0.06,,,,
75,1875,-0.46777777777777774,-0.05,,,,
76,1876,-0.4077777777777778,-0.04,,,,
77,1877,0.15222222222222226,-0.03,,,,
78,1878,0.28222222222222226,-0.01,,,,
79,1879,-0.20777777777777773,0.02,,,,
80,1880,0.3122222222222223,0.04,,,,
81,1881,0.45222222222222225,0.07,,,,
82,1882,0.10222222222222227,0.09,,,,
83,1883,0.32222222222222224,0.12,,,,
84,1884,,,,,,
85,1885,-0.24777777777777776,0.1,,,,
86,1886,0.27222222222222225,0.09,,,,
87,1887,-0.11777777777777776,0.08,,,,
88,1888,0.09222222222222226,0.07,,,,
89,1889,0.14222222222222225,0.07,,,,
90,1890,-0.3177777777777777,0.07,,,,
91,1891,0.062222222222222234,0.08,,,,
92,1892,0.15222222222222226,0.08,,,,
93,1893,0.27222222222222225,0.08,,,,
94,1894,0.10222222222222227,0.09,,,,
95,1895,0.37222222222222223,0.1,,,,
96,1896,-0.09777777777777774,0.1,,,,
97,1897,-0.007777777777777717,0.08,,,,
98,1898,-0.12777777777777777,0.06,,,,
99,1899,0.5522222222222223,0.03,,,,
100,1900,0.13222222222222224,0.0,,,,
101,1901,0.26222222222222225,-0.02,,,,
102,1902,-0.05777777777777776,-0.04,,,,
103,1903,-0.4077777777777778,-0.06,,,,
104,1904,-0.7177777777777778,-0.07,,,,
105,1905,-0.21777777777777774,-0.08,,,,
106,1906,0.062222222222222234,-0.08,,,,
107,1907,-0.24777777777777776,-0.08,,,,
108,1908,-0.08777777777777773,-0.06,,,,
109,1909,-0.1777777777777777,-0.03,,,,
110,1910,0.25222222222222224,0.01,,,,
111,1911,-0.6277777777777778,0.03,,,,
112,1912,0.22222222222222227,0.06,,,,
113,1913,0.16222222222222227,0.08,,,,
114,1914,0.25222222222222224,0.1,,,,
115,1915,0.21222222222222226,0.13,,,,
116,1916,-0.037777777777777743,0.16,,,,
117,1917,0.08222222222222225,0.18,,,,
118,1918,-0.07777777777777772,0.2,,,,
119,1919,0.18222222222222226,0.22,,,,
120,1920,0.39222222222222225,0.24,,,,
121,1921,0.39222222222222225,0.27,,,,
122,1922,0.38222222222222224,0.29,,,,
123,1923,0.18222222222222226,0.31,,,,
124,1924,0.4322222222222223,0.32,,,,
125,1925,0.35222222222222227,0.32,,,,
126,1926,0.7222222222222223,0.32,,,,
127,1927,0.35222222222222227,0.31,,,,
128,1928,0.062222222222222234,0.29,,,,
129,1929,0.18222222222222226,0.28,,,,
130,1930,0.3622222222222223,0.27,,,,
131,1931,0.3122222222222223,0.26,,,,
132,1932,-0.1677777777777777,0.25,,,,
133,1933,0.26222222222222225,0.26,,,,
134,1934,0.35222222222222227,0.27,,,,
135,1935,0.21222222222222226,0.29,,,,
136,1936,0.07222222222222224,0.31,,,,
137,1937,0.45222222222222225,0.33,,,,
138,1938,0.4222222222222223,0.35,,,,
139,1939,0.20222222222222225,0.37,,,,
